Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944
World,OWID_WRL,1890,0,0,0,0,38.88889,0,33,89,3856,6667
World,OWID_WRL,1900,0,0,0,0,47.22222,0,64,181,5728,6111
World,OWID_WRL,1910,0,0,0,0,91.666664,0,142,397,8656,6389
World,OWID_WRL,1920,0,0,0,0,177.77777,0,233,889,9833,6944
World,OWID_WRL,1930,0,0,0,0,363.8889,0,603,1756,10125,7222
World,OWID_WRL,1940,0,0,0,0,533.3333,0,875,2653,11586,7222
World,OWID_WRL,1950,0,0,0,0,925,0,2092,5444,12603,7500
World,OWID_WRL,1960,0,0,0,0,1913.8889,0,4472,11097,15442,8889
World,OWID_WRL,1965,55.949085,9.029861,0,0,2729.8865,72.469345,6303.8203,18012.52,16177.694,9162
World,OWID_WRL,1966,61.737606,9.209844,0,0,2909.136,97.70497,6868.814,19427.398,16359.431,9218
World,OWID_WRL,1967,62.35338,9.383716,0,0,2973.9692,116.35517,7374.058,20779.828,16095.517,9274
World,OWID_WRL,1968,69.03191,9.5538,0,0,3132.3052,147.87189,8044.3477,22511.285,16333.143,9331
World,OWID_WRL,1969,72.558716,9.723981,0,0,3316.9805,175.31134,8833.434,24446.174,16847,9387
World,OWID_WRL,1970,80.33795,13.501494,0,0,3473.4265,223.80801,9614.809,26672.713,17087.004,9444
World,OWID_WRL,1971,87.339066,13.562146,0,0,3628.942,311.28723,10293.19,28117.908,16986.387,9499
World,OWID_WRL,1972,93.40202,14.82311,0,0,3798.634,431.79926,10861.713,30331.375,17168.227,9553
World,OWID_WRL,1973,100.24631,14.250557,0,0,3852.995,578.5737,11377.832,32722.135,17683.568,9608
World,OWID_WRL,1974,106.87296,14.334716,0,0,4232.1367,756.48175,11659.859,32224.648,17696.432,9663
World,OWID_WRL,1975,108.1472,13.688392,0,0,4284.3325,1049.4497,11659.736,31992.346,18045.436,9718
World,OWID_WRL,1976,120.57106,13.751189,0,0,4267.3394,1227.7115,12354.139,34059.953,18699.785,9774
World,OWID_WRL,1977,127.266624,18.318535,0,0,4410.859,1528.1375,12759.838,35189.734,19267.412,9830
World,OWID_WRL,1978,135.02682,23.178774,0,0.008870971,4773.711,1775.7009,13293.947,36703.98,19467.49,9886
World,OWID_WRL,1979,144.51552,28.023214,0,0.017741943,5012.647,1846.8246,14118.029,37182.266,20370.578,9943
World,OWID_WRL,1980,153.78857,32.78612,0,0.031048333,5120.4688,2020.0956,14236.961,35561.332,20877.783,10000
