Entity,Code,Year,Coal (% equivalent primary energy)
Africa,,1965,45.160805
Africa,,1966,43.075306
Africa,,1967,43.57785
Africa,,1968,42.907135
Africa,,1969,42.136402
Africa,,1970,40.39671
Africa,,1971,40.183094
Africa,,1972,38.125126
Africa,,1973,37.463234
Africa,,1974,37.144203
Africa,,1975,37.142147
Africa,,1976,36.47744
Africa,,1977,35.334785
Africa,,1978,33.06446
Africa,,1979,32.217003
Africa,,1980,32.12239
Africa,,1981,33.482506
Africa,,1982,34.649
Africa,,1983,34.228878
Africa,,1984,35.512074
Africa,,1985,35.212147
Africa,,1986,35.302944
Africa,,1987,35.17586
Africa,,1988,35.31642
Africa,,1989,33.101704
Africa,,1990,33.653114
Africa,,1991,32.7725
Africa,,1992,32.477585
Africa,,1993,32.874195
Africa,,1994,32.632042
Africa,,1995,32.34647
Africa,,1996,31.978682
Africa,,1997,32.11174
Africa,,1998,30.8965
Africa,,1999,30.904562
Africa,,2000,30.153736
Africa,,2001,29.480127
Africa,,2002,27.866108
Africa,,2003,28.931952
Africa,,2004,29.649645
Africa,,2005,27.44893
Africa,,2006,27.319717
Africa,,2007,26.7481
Africa,,2008,27.811306
Africa,,2009,27.237114
Africa,,2010,26.203712
Africa,,2011,25.575968
Africa,,2012,23.965588
Africa,,2013,23.550926
Africa,,2014,24.004797
Africa,,2015,22.264814
Africa,,2016,22.976019
Africa,,2017,22.254818
Africa,,2018,21.307669
Africa,,2019,22.03608
Africa,,2020,22.474092
Africa,,2021,20.778957
Africa,,2022,19.672281
Africa,,2023,19.561436
Africa (EI),,1965,45.160805
Africa (EI),,1966,43.075306
Africa (EI),,1967,43.577854
Africa (EI),,1968,42.907135
Africa (EI),,1969,42.136402
Africa (EI),,1970,40.39671
Africa (EI),,1971,40.183098
Africa (EI),,1972,38.125126
Africa (EI),,1973,37.46323
Africa (EI),,1974,37.144203
Africa (EI),,1975,37.142147
Africa (EI),,1976,36.47744
Africa (EI),,1977,35.334793
Africa (EI),,1978,33.06446
Africa (EI),,1979,32.217003
Africa (EI),,1980,32.12239
Africa (EI),,1981,33.482506
Africa (EI),,1982,34.649
Africa (EI),,1983,34.228878
Africa (EI),,1984,35.51207
Africa (EI),,1985,35.21215
Africa (EI),,1986,35.302944
Africa (EI),,1987,35.17586
Africa (EI),,1988,35.31642
Africa (EI),,1989,33.101704
Africa (EI),,1990,33.653114
Africa (EI),,1991,32.7725
Africa (EI),,1992,32.47758
Africa (EI),,1993,32.874195
Africa (EI),,1994,32.632042
Africa (EI),,1995,32.34647
Africa (EI),,1996,31.978682
Africa (EI),,1997,32.111744
Africa (EI),,1998,30.896503
Africa (EI),,1999,30.904562
Africa (EI),,2000,30.153736
Africa (EI),,2001,29.480127
Africa (EI),,2002,27.866104
Africa (EI),,2003,28.931948
Africa (EI),,2004,29.649649
Africa (EI),,2005,27.44893
Africa (EI),,2006,27.319721
Africa (EI),,2007,26.7481
Africa (EI),,2008,27.811306
Africa (EI),,2009,27.237114
Africa (EI),,2010,26.203712
Africa (EI),,2011,25.575968
Africa (EI),,2012,23.965588
Africa (EI),,2013,23.550926
Africa (EI),,2014,24.004797
Africa (EI),,2015,22.26481
Africa (EI),,2016,22.97602
Africa (EI),,2017,22.25482
Africa (EI),,2018,21.307669
Africa (EI),,2019,22.036081
Africa (EI),,2020,22.474092
Africa (EI),,2021,20.778952
Africa (EI),,2022,19.672281
Africa (EI),,2023,19.561436
Algeria,DZA,1965,3.2783456
Algeria,DZA,1966,2.650932
Algeria,DZA,1967,2.14094
Algeria,DZA,1968,2.1079264
Algeria,DZA,1969,2.4273093
Algeria,DZA,1970,2.6260033
Algeria,DZA,1971,0.67322135
Algeria,DZA,1972,0.5209657
Algeria,DZA,1973,0.50232226
Algeria,DZA,1974,0.3751044
Algeria,DZA,1975,0.3966481
Algeria,DZA,1976,0.66576844
Algeria,DZA,1977,0.7863978
Algeria,DZA,1978,0.31803575
Algeria,DZA,1979,0.5637261
Algeria,DZA,1980,0.42018044
Algeria,DZA,1981,0.24320799
Algeria,DZA,1982,3.9139762
Algeria,DZA,1983,3.1975706
Algeria,DZA,1984,3.691976
Algeria,DZA,1985,3.8220327
Algeria,DZA,1986,3.7091532
Algeria,DZA,1987,4.3148375
Algeria,DZA,1988,3.7888088
Algeria,DZA,1989,3.292452
Algeria,DZA,1990,2.4332728
Algeria,DZA,1991,2.5339715
Algeria,DZA,1992,2.9344945
Algeria,DZA,1993,2.5680096
Algeria,DZA,1994,2.3882396
Algeria,DZA,1995,2.3026404
Algeria,DZA,1996,1.0957371
Algeria,DZA,1997,1.9991152
Algeria,DZA,1998,2.066892
Algeria,DZA,1999,2.1920552
Algeria,DZA,2000,1.8805242
Algeria,DZA,2001,2.0954082
Algeria,DZA,2002,2.6550817
Algeria,DZA,2003,2.0918128
Algeria,DZA,2004,2.4039516
Algeria,DZA,2005,1.8860927
Algeria,DZA,2006,2.7049358
Algeria,DZA,2007,2.2029614
Algeria,DZA,2008,2.078566
Algeria,DZA,2009,1.259232
Algeria,DZA,2010,0.8212624
Algeria,DZA,2011,0.6885534
Algeria,DZA,2012,0.66892815
Algeria,DZA,2013,0.342201
Algeria,DZA,2014,0.35548544
Algeria,DZA,2015,0.25048494
Algeria,DZA,2016,0.09236205
Algeria,DZA,2017,0.33931997
Algeria,DZA,2018,0.86840326
Algeria,DZA,2019,0.6917546
Algeria,DZA,2020,0.23478699
Algeria,DZA,2021,0.43881997
Algeria,DZA,2022,0.2962185
Algeria,DZA,2023,0.27418104
Argentina,ARG,1965,2.5736191
Argentina,ARG,1966,2.0555239
Argentina,ARG,1967,2.2463248
Argentina,ARG,1968,2.1114457
Argentina,ARG,1969,2.4462075
Argentina,ARG,1970,3.3162787
Argentina,ARG,1971,2.7425675
Argentina,ARG,1972,2.279969
Argentina,ARG,1973,2.3953428
Argentina,ARG,1974,2.8684344
Argentina,ARG,1975,2.8593552
Argentina,ARG,1976,2.7542467
Argentina,ARG,1977,2.4936671
Argentina,ARG,1978,3.0351448
Argentina,ARG,1979,2.6338391
Argentina,ARG,1980,2.3610456
Argentina,ARG,1981,2.3059626
Argentina,ARG,1982,2.2863417
Argentina,ARG,1983,1.9927313
Argentina,ARG,1984,1.4743637
Argentina,ARG,1985,2.200828
Argentina,ARG,1986,2.3795862
Argentina,ARG,1987,2.5270278
Argentina,ARG,1988,2.5469549
Argentina,ARG,1989,2.8579981
Argentina,ARG,1990,2.3909574
Argentina,ARG,1991,2.0704079
Argentina,ARG,1992,2.1755695
Argentina,ARG,1993,1.396572
Argentina,ARG,1994,1.1605712
Argentina,ARG,1995,1.1801531
Argentina,ARG,1996,1.1819327
Argentina,ARG,1997,0.9218002
Argentina,ARG,1998,1.1965587
Argentina,ARG,1999,1.4201912
Argentina,ARG,2000,1.0751137
Argentina,ARG,2001,0.9020709
Argentina,ARG,2002,0.70076126
Argentina,ARG,2003,0.79740846
Argentina,ARG,2004,1.2781414
Argentina,ARG,2005,1.3866594
Argentina,ARG,2006,1.1948599
Argentina,ARG,2007,1.6589195
Argentina,ARG,2008,1.9968656
Argentina,ARG,2009,1.1285414
Argentina,ARG,2010,1.5240439
Argentina,ARG,2011,1.6080508
Argentina,ARG,2012,1.448457
Argentina,ARG,2013,1.5222468
Argentina,ARG,2014,1.6218394
Argentina,ARG,2015,1.5862668
Argentina,ARG,2016,1.2281685
Argentina,ARG,2017,1.2633977
Argentina,ARG,2018,1.3927169
Argentina,ARG,2019,0.87603277
Argentina,ARG,2020,1.1514137
Argentina,ARG,2021,1.4661396
Argentina,ARG,2022,1.4466538
Argentina,ARG,2023,1.2546072
Asia,,1965,48.496925
Asia,,1966,46.782124
Asia,,1967,43.565475
Asia,,1968,41.149426
Asia,,1969,40.491043
Asia,,1970,39.956455
Asia,,1971,39.407745
Asia,,1972,38.195812
Asia,,1973,36.233555
Asia,,1974,36.473064
Asia,,1975,37.571987
Asia,,1976,36.29482
Asia,,1977,36.50453
Asia,,1978,36.009785
Asia,,1979,36.009243
Asia,,1980,38.125534
Asia,,1981,38.820408
Asia,,1982,39.385952
Asia,,1983,39.572563
Asia,,1984,40.42375
Asia,,1985,39.89797
Asia,,1986,39.89644
Asia,,1987,40.210335
Asia,,1988,40.17069
Asia,,1989,39.954704
Asia,,1990,39.224796
Asia,,1991,39.159405
Asia,,1992,38.66154
Asia,,1993,38.792233
Asia,,1994,38.655098
Asia,,1995,37.697693
Asia,,1996,37.618095
Asia,,1997,36.600075
Asia,,1998,36.471973
Asia,,1999,36.21863
Asia,,2000,36.145805
Asia,,2001,36.602604
Asia,,2002,37.592606
Asia,,2003,39.90964
Asia,,2004,40.917606
Asia,,2005,43.202736
Asia,,2006,44.045254
Asia,,2007,45.12662
Asia,,2008,44.907455
Asia,,2009,45.43142
Asia,,2010,44.664783
Asia,,2011,45.62006
Asia,,2012,45.092773
Asia,,2013,44.835655
Asia,,2014,44.30772
Asia,,2015,43.02162
Asia,,2016,41.86139
Asia,,2017,41.236805
Asia,,2018,40.989067
Asia,,2019,40.775867
Asia,,2020,40.923103
Asia,,2021,40.803764
Asia,,2022,40.391514
Asia,,2023,40.439777
Asia Pacific (EI),,1965,52.94821
Asia Pacific (EI),,1966,50.91308
Asia Pacific (EI),,1967,47.683132
Asia Pacific (EI),,1968,45.087204
Asia Pacific (EI),,1969,44.120235
Asia Pacific (EI),,1970,43.05164
Asia Pacific (EI),,1971,42.38277
Asia Pacific (EI),,1972,41.170456
Asia Pacific (EI),,1973,39.232357
Asia Pacific (EI),,1974,39.54249
Asia Pacific (EI),,1975,40.52311
Asia Pacific (EI),,1976,39.49734
Asia Pacific (EI),,1977,40.02343
Asia Pacific (EI),,1978,39.56963
Asia Pacific (EI),,1979,39.927628
Asia Pacific (EI),,1980,42.065975
Asia Pacific (EI),,1981,43.165173
Asia Pacific (EI),,1982,44.136566
Asia Pacific (EI),,1983,44.53167
Asia Pacific (EI),,1984,45.79454
Asia Pacific (EI),,1985,46.898457
Asia Pacific (EI),,1986,46.812317
Asia Pacific (EI),,1987,47.236694
Asia Pacific (EI),,1988,47.27191
Asia Pacific (EI),,1989,46.934826
Asia Pacific (EI),,1990,46.239857
Asia Pacific (EI),,1991,45.90757
Asia Pacific (EI),,1992,45.410625
Asia Pacific (EI),,1993,45.372314
Asia Pacific (EI),,1994,45.20618
Asia Pacific (EI),,1995,44.167587
Asia Pacific (EI),,1996,44.015236
Asia Pacific (EI),,1997,42.890324
Asia Pacific (EI),,1998,42.907513
Asia Pacific (EI),,1999,42.64673
Asia Pacific (EI),,2000,42.556183
Asia Pacific (EI),,2001,43.091793
Asia Pacific (EI),,2002,44.285873
Asia Pacific (EI),,2003,46.720398
Asia Pacific (EI),,2004,47.81424
Asia Pacific (EI),,2005,50.335567
Asia Pacific (EI),,2006,51.18207
Asia Pacific (EI),,2007,52.221912
Asia Pacific (EI),,2008,52.208668
Asia Pacific (EI),,2009,52.77635
Asia Pacific (EI),,2010,51.810955
Asia Pacific (EI),,2011,52.839874
Asia Pacific (EI),,2012,52.202774
Asia Pacific (EI),,2013,51.928745
Asia Pacific (EI),,2014,51.34626
Asia Pacific (EI),,2015,50.14184
Asia Pacific (EI),,2016,48.895226
Asia Pacific (EI),,2017,47.977127
Asia Pacific (EI),,2018,47.398262
Asia Pacific (EI),,2019,47.012814
Asia Pacific (EI),,2020,47.18888
Asia Pacific (EI),,2021,46.941658
Asia Pacific (EI),,2022,46.554737
Asia Pacific (EI),,2023,46.507042
Australia,AUS,1965,47.45109
Australia,AUS,1966,46.937496
Australia,AUS,1967,45.49845
