Entity,Code,Year,Coal Exit Timeline (Beyond Coal)
Afghanistan,AFG,2021,Coal free
Albania,ALB,2021,Coal free
Algeria,DZA,2021,Coal free
Angola,AGO,2021,Coal free
Armenia,ARM,2021,Coal free
Austria,AUT,2021,Coal free
Azerbaijan,AZE,2021,Coal free
Bahamas,BHS,2021,Coal free
Belgium,BEL,2021,Coal free
Belize,BLZ,2021,Coal free
Benin,BEN,2021,Coal free
Bhutan,BTN,2021,Coal free
Bolivia,BOL,2021,Coal free
Botswana,BWA,2049,Phase out in 2040s
Brunei,BRN,2049,Phase out in 2040s
Burkina Faso,BFA,2021,Coal free
Burundi,BDI,2021,Coal free
Cameroon,CMR,2021,Coal free
Canada,CAN,2030,Phase out by 2030
Central African Republic,CAF,2021,Coal free
Chad,TCD,2021,Coal free
Chile,CHL,2040,Phase out by 2040
Costa Rica,CRI,2030,Phase out by 2030
Croatia,HRV,2033,Phase out by 2040
Cuba,CUB,2021,Coal free
Cyprus,CYP,2021,Coal free
Democratic Republic of Congo,COD,2021,Coal free
Denmark,DNK,2028,Phase out by 2030
East Timor,TLS,2021,Coal free
Ecuador,ECU,2021,Coal free
Egypt,EGY,2021,Coal free
El Salvador,SLV,2021,Coal free
Eritrea,ERI,2021,Coal free
Estonia,EST,2021,Coal free
Falkland Islands,FLK,2021,Coal free
Fiji,FJI,2021,Coal free
Finland,FIN,2029,Phase out by 2030
France,FRA,2022,Phase out by 2030
Gambia,GMB,2021,Coal free
Georgia,GEO,2021,Coal free
Germany,DEU,2038,Phase out by 2040
Ghana,GHA,2021,Coal free
Greece,GRC,2025,Phase out by 2030
Guinea,GIN,2021,Coal free
Guinea-Bissau,GNB,2021,Coal free
Guyana,GUY,2021,Coal free
Haiti,HTI,2021,Coal free
Hungary,HUN,2025,Phase out by 2030
Iceland,ISL,2021,Coal free
Indonesia,IDN,2049,Phase out in 2040s
Iran,IRN,2021,Coal free
Iraq,IRQ,2021,Coal free
Ireland,IRL,2025,Phase out by 2030
Israel,ISR,2030,Phase out by 2030
Italy,ITA,2025,Phase out by 2030
Jamaica,JAM,2021,Coal free
Jordan,JOR,2021,Coal free
Kuwait,KWT,2021,Coal free
Latvia,LVA,2021,Coal free
Lebanon,LBN,2021,Coal free
Lesotho,LSO,2021,Coal free
Liberia,LBR,2021,Coal free
Libya,LBY,2021,Coal free
Liechtenstein,LIE,2049,Phase out in 2040s
Lithuania,LTU,2021,Coal free
Luxembourg,LUX,2021,Coal free
Maldives,MDV,2049,Phase out in 2040s
Mali,MLI,2021,Coal free
Malta,MLT,2021,Coal free
Mauritania,MRT,2021,Coal free
Mauritius,MUS,2030,Phase out by 2030
Montenegro,MNE,2035,Phase out by 2040
Nepal,NPL,2021,Coal free
Netherlands,NLD,2029,Phase out by 2030
New Zealand,NZL,2030,Phase out by 2030
Nicaragua,NIC,2021,Coal free
Nigeria,NGA,2021,Coal free
North Macedonia,MKD,2027,Phase out by 2030
Norway,NOR,2021,Coal free
Oman,OMN,2021,Coal free
Paraguay,PRY,2021,Coal free
Poland,POL,2049,Phase out in 2040s
Portugal,PRT,2021,Phase out by 2030
Puerto Rico,PRI,2021,Coal free
Qatar,QAT,2021,Coal free
Rwanda,RWA,2021,Coal free
Saudi Arabia,SAU,2021,Coal free
Senegal,SEN,2049,Phase out in 2040s
Sierra Leone,SLE,2021,Coal free
Singapore,SGP,2039,Phase out by 2040
Slovakia,SVK,2023,Phase out by 2030
Solomon Islands,SLB,2021,Coal free
Somalia,SOM,2021,Coal free
South Korea,KOR,2039,Phase out by 2040
Spain,ESP,2030,Phase out by 2030
Sri Lanka,LKA,2040,Phase out by 2040
Sudan,SDN,2021,Coal free
Suriname,SUR,2021,Coal free
Sweden,SWE,2021,Coal free
Switzerland,CHE,2021,Coal free
Togo,TGO,2021,Coal free
Trinidad and Tobago,TTO,2021,Coal free
Tunisia,TUN,2021,Coal free
Turkmenistan,TKM,2021,Coal free
Uganda,UGA,2021,Coal free
Ukraine,UKR,2035,Phase out by 2040
United Kingdom,GBR,2024,Phase out by 2030
Uruguay,URY,2021,Coal free
Venezuela,VEN,2021,Coal free
Vietnam,VNM,2049,Phase out in 2040s
Yemen,YEM,2021,Coal free
Zambia,ZMB,2049,Phase out in 2040s
