Entity,Code,Year,Oil consumption - TWh,Gas consumption - TWh,Coal consumption - TWh
Africa,,1965,342.1337,9.571929,323.49615
Africa,,1966,370.45,10.698091,323.1222
Africa,,1967,369.19354,10.573845,330.29156
Africa,,1968,390.3657,10.717145,343.5129
Africa,,1969,398.15326,12.520175,346.64288
Africa,,1970,435.02704,15.5485,360.7569
Africa,,1971,474.3054,18.405262,383.0123
Africa,,1972,510.7296,24.670656,384.21082
Africa,,1973,549.80396,39.551792,408.9103
Africa,,1974,569.7385,44.518486,425.64618
Africa,,1975,597.671,53.63838,451.08047
Africa,,1976,652.5852,60.98139,481.07413
Africa,,1977,695.1952,68.23419,491.69846
Africa,,1978,732.366,97.369896,477.81558
Africa,,1979,771.1747,148.8428,507.24698
Africa,,1980,818.15454,186.91397,543.55707
Africa,,1981,885.4927,228.49115,635.79877
Africa,,1982,926.532,246.73354,701.17584
Africa,,1983,964.7042,271.27533,713.24603
Africa,,1984,982.0362,259.90277,762.8979
Africa,,1985,1007.3241,278.84274,787.16583
Africa,,1986,984.45636,313.27118,805.356
Africa,,1987,1038.56,323.38437,828.3197
Africa,,1988,1081.7913,358.44452,890.16077
Africa,,1989,1117.5557,371.47104,835.62085
Africa,,1990,1135.9592,398.64536,877.6782
Africa,,1991,1141.9103,401.6356,853.76215
Africa,,1992,1164.2032,421.27026,858.8312
Africa,,1993,1176.1725,412.64395,871.7139
Africa,,1994,1214.283,431.82794,894.4478
Africa,,1995,1256.2194,461.2435,922.47125
Africa,,1996,1283.562,484.19174,935.2283
Africa,,1997,1324.0258,474.47552,959.01904
Africa,,1998,1355.3862,499.33698,937.03894
Africa,,1999,1404.9454,504.01962,966.0107
Africa,,2000,1408.3779,556.8223,963.73047
Africa,,2001,1423.5013,634.6361,975.9262
Africa,,2002,1457.352,670.636,934.42163
Africa,,2003,1501.7174,711.536,1017.0484
Africa,,2004,1571.9252,783.10583,1119.1619
Africa,,2005,1641.2847,808.0279,1039.0729
Africa,,2006,1656.8494,843.74774,1054.097
Africa,,2007,1720.8945,900.41455,1071.6333
Africa,,2008,1807.1218,935.5027,1180.7251
Africa,,2009,1872.0237,941.2384,1176.002
Africa,,2010,1952.0454,981.41986,1167.1663
Africa,,2011,1921.6882,1061.5934,1149.025
Africa,,2012,2045.3468,1147.4294,1120.1858
Africa,,2013,2122.528,1170.0557,1132.1521
Africa,,2014,2144.3142,1202.3503,1185.7092
Africa,,2015,2202.6306,1307.7611,1123.2715
Africa,,2016,2221.6062,1350.4666,1191.6005
Africa,,2017,2265.2363,1455.7446,1192.7607
Africa,,2018,2299.4292,1553.0098,1170.1332
Africa,,2019,2295.1206,1576.5094,1236.2761
Africa,,2020,2055.2783,1541.8435,1195.1685
Africa,,2021,2242.3945,1766.1251,1197.929
Africa,,2022,2361.337,1747.1118,1144.8707
Africa,,2023,2358.9668,1712.2908,1133.9897
Africa (EI),,1965,342.1337,9.571929,323.49615
Africa (EI),,1966,370.45,10.698091,323.1222
Africa (EI),,1967,369.1935,10.573844,330.2916
Africa (EI),,1968,390.3657,10.717145,343.51288
Africa (EI),,1969,398.15326,12.520175,346.64288
Africa (EI),,1970,435.02707,15.5485,360.7569
Africa (EI),,1971,474.30536,18.405264,383.0123
Africa (EI),,1972,510.7296,24.670658,384.21082
Africa (EI),,1973,549.804,39.551792,408.91034
Africa (EI),,1974,569.7385,44.518486,425.6462
Africa (EI),,1975,597.6711,53.638374,451.08047
Africa (EI),,1976,652.5852,60.98139,481.07416
Africa (EI),,1977,695.1952,68.23419,491.69843
Africa (EI),,1978,732.366,97.369896,477.81558
Africa (EI),,1979,771.1747,148.8428,507.24698
Africa (EI),,1980,818.15454,186.91397,543.55707
Africa (EI),,1981,885.4927,228.49113,635.79877
Africa (EI),,1982,926.5319,246.73354,701.17584
Africa (EI),,1983,964.7042,271.27536,713.24603
Africa (EI),,1984,982.03625,259.90277,762.8978
Africa (EI),,1985,1007.3241,278.84274,787.1659
Africa (EI),,1986,984.45636,313.27118,805.356
Africa (EI),,1987,1038.56,323.38437,828.3197
Africa (EI),,1988,1081.7911,358.44455,890.16077
Africa (EI),,1989,1117.5557,371.47104,835.62085
Africa (EI),,1990,1135.9592,398.6454,877.6782
Africa (EI),,1991,1141.9103,401.6356,853.76215
Africa (EI),,1992,1164.2032,421.27026,858.8311
Africa (EI),,1993,1176.1725,412.64398,871.7139
Africa (EI),,1994,1214.2828,431.82797,894.4478
Africa (EI),,1995,1256.2194,461.24347,922.47125
Africa (EI),,1996,1283.562,484.19174,935.2283
Africa (EI),,1997,1324.0258,474.47556,959.0191
Africa (EI),,1998,1355.3861,499.337,937.03894
Africa (EI),,1999,1404.9454,504.01962,966.0107
Africa (EI),,2000,1408.3778,556.8223,963.7305
