Entity,Code,Year,Fossil fuels per capita (kWh)
Africa,,1965,2100.505
Africa,,1966,2136.364
Africa,,1967,2099.7725
Africa,,1968,2145.9302
Africa,,1969,2126.871
Africa,,1970,2220.0889
Africa,,1971,2334.7239
Africa,,1972,2389.0298
Africa,,1973,2525.8975
Africa,,1974,2560.9014
Africa,,1975,2640.0945
Africa,,1976,2780.9941
Africa,,1977,2841.5732
Africa,,1978,2877.135
Africa,,1979,3049.865
Africa,,1980,3215.9644
Africa,,1981,3530.2383
Africa,,1982,3671.4834
Africa,,1983,3710.4407
Africa,,1984,3711.4023
Africa,,1985,3731.3445
Africa,,1986,3678.9912
Africa,,1987,3724.4321
Africa,,1988,3855.0076
Africa,,1989,3742.3813
Africa,,1990,3780.0737
Africa,,1991,3659.7837
Africa,,1992,3637.727
Africa,,1993,3570.4348
Africa,,1994,3596.0364
Africa,,1995,3644.6467
Africa,,1996,3639.0806
Africa,,1997,3622.4785
Africa,,1998,3579.603
Africa,,1999,3597.7688
Africa,,2000,3576.4358
Africa,,2001,3614.2861
Africa,,2002,3558.4102
Africa,,2003,3661.0227
Africa,,2004,3839.8137
Africa,,2005,3759.4473
Africa,,2006,3734.9402
Africa,,2007,3781.9631
Africa,,2008,3915.5906
Africa,,2009,3879.8503
Africa,,2010,3885.9934
Africa,,2011,3816.7524
Africa,,2012,3882.7617
Africa,,2013,3880.7314
Africa,,2014,3872.8333
Africa,,2015,3857.8232
Africa,,2016,3866.2666
Africa,,2017,3889.5032
Africa,,2018,3877.6396
Africa,,2019,3847.18
Africa,,2020,3521.9883
Africa,,2021,3735.765
Africa,,2022,3682.0527
Africa,,2023,3564.061
Algeria,DZA,1965,1910.1324
Algeria,DZA,1966,2281.9224
Algeria,DZA,1967,2096.2073
Algeria,DZA,1968,2174.2285
Algeria,DZA,1969,2406.913
Algeria,DZA,1970,2540.1611
Algeria,DZA,1971,2746.7256
Algeria,DZA,1972,2990.643
Algeria,DZA,1973,3450.926
Algeria,DZA,1974,3790.4724
Algeria,DZA,1975,4413.426
Algeria,DZA,1976,4906.019
Algeria,DZA,1977,5218.6387
Algeria,DZA,1978,6387.1426
Algeria,DZA,1979,8129.0176
Algeria,DZA,1980,9412.426
Algeria,DZA,1981,11064.026
Algeria,DZA,1982,12334.725
Algeria,DZA,1983,13067.9
Algeria,DZA,1984,12099.901
Algeria,DZA,1985,11764.669
Algeria,DZA,1986,12094.42
Algeria,DZA,1987,12027.957
Algeria,DZA,1988,12576.017
Algeria,DZA,1989,11908.628
Algeria,DZA,1990,12327.519
Algeria,DZA,1991,11908.999
Algeria,DZA,1992,11949.858
Algeria,DZA,1993,10855.729
Algeria,DZA,1994,10789.64
Algeria,DZA,1995,10975.977
Algeria,DZA,1996,10678.949
Algeria,DZA,1997,10097.629
Algeria,DZA,1998,10282.93
Algeria,DZA,1999,10242.966
Algeria,DZA,2000,9741.336
Algeria,DZA,2001,9955.143
Algeria,DZA,2002,10175.09
Algeria,DZA,2003,10486.486
Algeria,DZA,2004,10736.774
Algeria,DZA,2005,11065.476
Algeria,DZA,2006,11323.462
Algeria,DZA,2007,11740.897
Algeria,DZA,2008,12229.293
Algeria,DZA,2009,12725.983
Algeria,DZA,2010,12229.061
Algeria,DZA,2011,12680.638
Algeria,DZA,2012,13594.317
Algeria,DZA,2013,14121.583
Algeria,DZA,2014,15090.883
Algeria,DZA,2015,15601.193
Algeria,DZA,2016,15272.842
Algeria,DZA,2017,15126.544
Algeria,DZA,2018,15925.02
Algeria,DZA,2019,16211.092
Algeria,DZA,2020,14888.941
Algeria,DZA,2021,15977.151
Algeria,DZA,2022,16310.9795
Algeria,DZA,2023,15416.595
Argentina,ARG,1965,14732.473
Argentina,ARG,1966,14975.831
Argentina,ARG,1967,15172.235
Argentina,ARG,1968,15420.595
Argentina,ARG,1969,15718.227
Argentina,ARG,1970,14625.065
Argentina,ARG,1971,15273.73
Argentina,ARG,1972,15226.303
Argentina,ARG,1973,15483.363
Argentina,ARG,1974,15496.195
Argentina,ARG,1975,14680.415
Argentina,ARG,1976,15229.681
Argentina,ARG,1977,15705.63
Argentina,ARG,1978,15132.868
Argentina,ARG,1979,15777.248
Argentina,ARG,1980,14997.139
Argentina,ARG,1981,14269.553
Argentina,ARG,1982,14134.874
Argentina,ARG,1983,14335.764
Argentina,ARG,1984,13912.129
Argentina,ARG,1985,13332.522
Argentina,ARG,1986,13987.672
Argentina,ARG,1987,14362.914
Argentina,ARG,1988,15107.617
Argentina,ARG,1989,14543.697
Argentina,ARG,1990,13467.861
Argentina,ARG,1991,13653.088
Argentina,ARG,1992,14362.695
Argentina,ARG,1993,14261.009
Argentina,ARG,1994,14624.844
Argentina,ARG,1995,15150.054
Argentina,ARG,1996,16071.908
Argentina,ARG,1997,15606.976
Argentina,ARG,1998,16234.63
Argentina,ARG,1999,16688.752
Argentina,ARG,2000,16061.652
Argentina,ARG,2001,14777.17
Argentina,ARG,2002,14038.02
Argentina,ARG,2003,15136.219
Argentina,ARG,2004,16351.621
Argentina,ARG,2005,17161.695
Argentina,ARG,2006,17675.01
Argentina,ARG,2007,18910.846
Argentina,ARG,2008,19009.867
Argentina,ARG,2009,17943.129
Argentina,ARG,2010,18534.785
Argentina,ARG,2011,19097.164
Argentina,ARG,2012,19803.955
Argentina,ARG,2013,20236.637
Argentina,ARG,2014,20020.451
Argentina,ARG,2015,20115.785
Argentina,ARG,2016,19927.385
Argentina,ARG,2017,19680.186
Argentina,ARG,2018,19258.883
Argentina,ARG,2019,17779.336
Argentina,ARG,2020,16376.283
Argentina,ARG,2021,18205.441
Argentina,ARG,2022,19451.1
Argentina,ARG,2023,18648.033
Asia,,1965,2602.062
Asia,,1966,2794.417
Asia,,1967,2862.3647
Asia,,1968,2995.9854
Asia,,1969,3376.1616
Asia,,1970,3779.8667
Asia,,1971,4019.5
Asia,,1972,4221.0205
Asia,,1973,4487.6006
Asia,,1974,4429.6562
Asia,,1975,4540.2397
Asia,,1976,4715.694
Asia,,1977,4936.8193
Asia,,1978,5120.5146
Asia,,1979,5251.255
Asia,,1980,5113.958
Asia,,1981,5063.1514
Asia,,1982,5070.3564
Asia,,1983,5243.862
Asia,,1984,5483.145
Asia,,1985,6306.4126
Asia,,1986,6443.869
Asia,,1987,6690.783
Asia,,1988,7008.3457
Asia,,1989,7200.975
Asia,,1990,7315.4165
Asia,,1991,7483.71
Asia,,1992,7708.478
Asia,,1993,7864.1055
Asia,,1994,8159.6475
Asia,,1995,8328.648
Asia,,1996,8590.302
Asia,,1997,8717.275
Asia,,1998,8572.052
Asia,,1999,8754.807
Asia,,2000,9004.076
Asia,,2001,9179.439
Asia,,2002,9525.052
Asia,,2003,10235.616
Asia,,2004,11044.063
Asia,,2005,11786.705
Asia,,2006,12303.23
Asia,,2007,12942.075
Asia,,2008,13163.534
Asia,,2009,13307.631
Asia,,2010,13942.508
Asia,,2011,14578.622
Asia,,2012,14917.293
Asia,,2013,15055.917
Asia,,2014,15204.0205
Asia,,2015,15244.307
Asia,,2016,15201.958
Asia,,2017,15568.612
Asia,,2018,15880.071
Asia,,2019,16052.258
Asia,,2020,15724.594
Asia,,2021,16318.793
Asia,,2022,16512.453
Asia,,2023,17057.654
Australia,AUS,1965,35395.805
Australia,AUS,1966,36529.594
Australia,AUS,1967,38078.816
Australia,AUS,1968,39683.492
Australia,AUS,1969,40417.2
Australia,AUS,1970,42810.016
Australia,AUS,1971,43400.63
Australia,AUS,1972,44437.89
Australia,AUS,1973,46764.816
Australia,AUS,1974,48821.367
Australia,AUS,1975,48845.88
Australia,AUS,1976,50269.727
Australia,AUS,1977,52457.586
Australia,AUS,1978,53395.305
Australia,AUS,1979,54945.08
Australia,AUS,1980,54615.76
Australia,AUS,1981,54621.473
Australia,AUS,1982,53433.984
Australia,AUS,1983,52287.727
Australia,AUS,1984,53348.02
Australia,AUS,1985,54075.297
Australia,AUS,1986,54300.055
Australia,AUS,1987,55093.676
Australia,AUS,1988,56674.305
Australia,AUS,1989,58641.63
Australia,AUS,1990,58951.844
Australia,AUS,1991,57630.38
Australia,AUS,1992,57901.61
Australia,AUS,1993,58633.574
Australia,AUS,1994,60402.938
Australia,AUS,1995,61398.64
Australia,AUS,1996,62475.82
Australia,AUS,1997,63378.875
Australia,AUS,1998,64295.676
Australia,AUS,1999,66238.22
Australia,AUS,2000,65895.28
Australia,AUS,2001,65693.06
Australia,AUS,2002,66184.305
Australia,AUS,2003,66309.15
Australia,AUS,2004,67641.09
Australia,AUS,2005,66901.25
Australia,AUS,2006,68821.48
Australia,AUS,2007,69429.336
Australia,AUS,2008,69435.5
Australia,AUS,2009,66957.82
Australia,AUS,2010,65568.57
Australia,AUS,2011,65748.54
Australia,AUS,2012,63738.773
Australia,AUS,2013,62923.895
Australia,AUS,2014,62761.85
Australia,AUS,2015,62999.273
Australia,AUS,2016,61624.492
Australia,AUS,2017,60740.344
Australia,AUS,2018,59666.56
Australia,AUS,2019,60367.38
Australia,AUS,2020,55051.242
Australia,AUS,2021,53381.383
Australia,AUS,2022,54620.742
Australia,AUS,2023,53779.406
Austria,AUT,1965,19524.502
Austria,AUT,1966,20090.027
Austria,AUT,1967,20070.238
Austria,AUT,1968,21644.56
Austria,AUT,1969,23186.455
Austria,AUT,1970,25611.236
Austria,AUT,1971,27118.223
Austria,AUT,1972,27937.443
Austria,AUT,1973,29629.223
Austria,AUT,1974,28406.164
Austria,AUT,1975,27808.29
Austria,AUT,1976,30419.934
Austria,AUT,1977,28799.48
Austria,AUT,1978,30480.5
Austria,AUT,1979,31684.107
Austria,AUT,1980,31108.863
Austria,AUT,1981,29116.54
Austria,AUT,1982,27731.283
