Entity,Code,Year,Gas proved reserves - m³
Africa,,1980,5745695000000
Africa,,1981,5672843300000
Africa,,1982,6030209600000
Africa,,1983,6032937500000
Africa,,1984,5964087400000
Africa,,1985,5913750000000
Africa,,1986,7093112300000
Africa,,1987,7074613000000
Africa,,1988,7351975000000
Africa,,1989,8104049600000
Africa,,1990,8179175400000
Africa,,1991,9080712000000
Africa,,1992,9449702000000
Africa,,1993,9565950000000
Africa,,1994,8719087700000
Africa,,1995,9486225000000
Africa,,1996,9716492000000
Africa,,1997,10152204000000
Africa,,1998,10294592000000
Africa,,1999,10942307000000
Africa,,2000,11925086000000
Africa,,2001,12546779000000
Africa,,2002,13152342000000
Africa,,2003,13366385000000
Africa,,2004,13581756000000
Africa,,2005,13578355000000
Africa,,2006,13649533000000
Africa,,2007,13923645000000
Africa,,2008,14027757000000
Africa,,2009,14148362000000
Africa,,2010,14009845000000
Africa,,2011,14094851000000
Africa,,2012,14032590000000
Africa,,2013,13967386000000
Africa,,2014,14137178000000
Africa,,2015,13985306000000
Africa,,2016,14419004000000
Africa,,2017,14536244000000
Africa,,2018,14596453000000
Africa,,2019,14946503000000
Africa,,2020,12888557000000
Africa (EI),,1980,5745696000000
Africa (EI),,1981,5672843300000
Africa (EI),,1982,6030209600000
Africa (EI),,1983,6032937500000
Africa (EI),,1984,5964087400000
Africa (EI),,1985,5913750000000
Africa (EI),,1986,7093112300000
Africa (EI),,1987,7074613000000
Africa (EI),,1988,7351975000000
Africa (EI),,1989,8104049600000
Africa (EI),,1990,8179175400000
Africa (EI),,1991,9080712000000
Africa (EI),,1992,9449702000000
Africa (EI),,1993,9565950000000
Africa (EI),,1994,8719087700000
Africa (EI),,1995,9486225000000
Africa (EI),,1996,9716492000000
Africa (EI),,1997,10152204000000
Africa (EI),,1998,10294591000000
Africa (EI),,1999,10942307000000
Africa (EI),,2000,11925086000000
Africa (EI),,2001,12546779000000
Africa (EI),,2002,13152342000000
Africa (EI),,2003,13366385000000
Africa (EI),,2004,13581757000000
Africa (EI),,2005,13578355000000
Africa (EI),,2006,13649533000000
Africa (EI),,2007,13923645000000
Africa (EI),,2008,14027757000000
Africa (EI),,2009,14148362000000
Africa (EI),,2010,14009845000000
Africa (EI),,2011,14094851000000
Africa (EI),,2012,14032590000000
Africa (EI),,2013,13967386000000
Africa (EI),,2014,14137177000000
Africa (EI),,2015,13985306000000
Africa (EI),,2016,14419003000000
Africa (EI),,2017,14536244000000
Africa (EI),,2018,14596453000000
Africa (EI),,2019,14946503000000
Africa (EI),,2020,12888557000000
Algeria,DZA,1980,3581462400000
Algeria,DZA,1981,3540075200000
Algeria,DZA,1982,3477512700000
Algeria,DZA,1983,3398587400000
Algeria,DZA,1984,3312925000000
Algeria,DZA,1985,3223412500000
Algeria,DZA,1986,3136787300000
Algeria,DZA,1987,3044387600000
Algeria,DZA,1988,3112725000000
Algeria,DZA,1989,3128125000000
Algeria,DZA,1990,3176250000000
Algeria,DZA,1991,3490025000000
Algeria,DZA,1992,3513125000000
Algeria,DZA,1993,3561249800000
Algeria,DZA,1994,2851887400000
Algeria,DZA,1995,3551625000000
Algeria,DZA,1996,3561249800000
Algeria,DZA,1997,3924112400000
Algeria,DZA,1998,3924112400000
Algeria,DZA,1999,4350500100000
Algeria,DZA,2000,4353387400000
Algeria,DZA,2001,4353387400000
Algeria,DZA,2002,4353387400000
Algeria,DZA,2003,4374562300000
Algeria,DZA,2004,4374562300000
Algeria,DZA,2005,4335292400000
Algeria,DZA,2006,4335292400000
Algeria,DZA,2007,4335100200000
Algeria,DZA,2008,4335100200000
Algeria,DZA,2009,4335100200000
Algeria,DZA,2010,4335100200000
Algeria,DZA,2011,4335100200000
Algeria,DZA,2012,4335011400000
Algeria,DZA,2013,4335011400000
Algeria,DZA,2014,4335100200000
Algeria,DZA,2015,4335100200000
Algeria,DZA,2016,4335100200000
Algeria,DZA,2017,4335100200000
Algeria,DZA,2018,4335100200000
Algeria,DZA,2019,4335100200000
Algeria,DZA,2020,2279200000000
Argentina,ARG,1980,624975000000
Argentina,ARG,1981,631800000000
Argentina,ARG,1982,674700000000
Argentina,ARG,1983,662024950000
Argentina,ARG,1984,651300000000
Argentina,ARG,1985,663975000000
Argentina,ARG,1986,654225000000
Argentina,ARG,1987,675675000000
Argentina,ARG,1988,753675000000
Argentina,ARG,1989,654225000000
Argentina,ARG,1990,643499950000
