Entity,Code,Year,Oil consumption - TWh
Africa,,1965,342.1337
Africa,,1966,370.45
Africa,,1967,369.19354
Africa,,1968,390.3657
Africa,,1969,398.15326
Africa,,1970,435.02704
Africa,,1971,474.3054
Africa,,1972,510.7296
Africa,,1973,549.80396
Africa,,1974,569.7385
Africa,,1975,597.671
Africa,,1976,652.5852
Africa,,1977,695.1952
Africa,,1978,732.366
Africa,,1979,771.1747
Africa,,1980,818.15454
Africa,,1981,885.4927
Africa,,1982,926.532
Africa,,1983,964.7042
Africa,,1984,982.0362
Africa,,1985,1007.3241
Africa,,1986,984.45636
Africa,,1987,1038.56
Africa,,1988,1081.7913
Africa,,1989,1117.5557
Africa,,1990,1135.9592
Africa,,1991,1141.9103
Africa,,1992,1164.2032
Africa,,1993,1176.1725
Africa,,1994,1214.283
Africa,,1995,1256.2194
Africa,,1996,1283.562
Africa,,1997,1324.0258
Africa,,1998,1355.3862
Africa,,1999,1404.9454
Africa,,2000,1408.3779
Africa,,2001,1423.5013
Africa,,2002,1457.352
Africa,,2003,1501.7174
Africa,,2004,1571.9252
Africa,,2005,1641.2847
Africa,,2006,1656.8494
Africa,,2007,1720.8945
Africa,,2008,1807.1218
Africa,,2009,1872.0237
Africa,,2010,1952.0454
Africa,,2011,1921.6882
Africa,,2012,2045.3468
Africa,,2013,2122.528
Africa,,2014,2144.3142
Africa,,2015,2202.6306
Africa,,2016,2221.6062
Africa,,2017,2265.2363
Africa,,2018,2299.4292
Africa,,2019,2295.1206
Africa,,2020,2055.2783
Africa,,2021,2242.3945
Africa,,2022,2361.337
Africa,,2023,2358.9668
Africa (EI),,1965,342.1337
Africa (EI),,1966,370.45
Africa (EI),,1967,369.1935
Africa (EI),,1968,390.3657
Africa (EI),,1969,398.15326
Africa (EI),,1970,435.02707
Africa (EI),,1971,474.30536
Africa (EI),,1972,510.7296
Africa (EI),,1973,549.804
Africa (EI),,1974,569.7385
Africa (EI),,1975,597.6711
Africa (EI),,1976,652.5852
Africa (EI),,1977,695.1952
Africa (EI),,1978,732.366
Africa (EI),,1979,771.1747
Africa (EI),,1980,818.15454
Africa (EI),,1981,885.4927
Africa (EI),,1982,926.5319
Africa (EI),,1983,964.7042
Africa (EI),,1984,982.03625
Africa (EI),,1985,1007.3241
Africa (EI),,1986,984.45636
Africa (EI),,1987,1038.56
Africa (EI),,1988,1081.7911
Africa (EI),,1989,1117.5557
Africa (EI),,1990,1135.9592
Africa (EI),,1991,1141.9103
Africa (EI),,1992,1164.2032
Africa (EI),,1993,1176.1725
Africa (EI),,1994,1214.2828
Africa (EI),,1995,1256.2194
Africa (EI),,1996,1283.562
Africa (EI),,1997,1324.0258
Africa (EI),,1998,1355.3861
Africa (EI),,1999,1404.9454
Africa (EI),,2000,1408.3778
Africa (EI),,2001,1423.5012
Africa (EI),,2002,1457.352
Africa (EI),,2003,1501.7174
Africa (EI),,2004,1571.9252
Africa (EI),,2005,1641.2847
Africa (EI),,2006,1656.8494
Africa (EI),,2007,1720.8945
Africa (EI),,2008,1807.1218
Africa (EI),,2009,1872.0237
Africa (EI),,2010,1952.0454
Africa (EI),,2011,1921.6881
Africa (EI),,2012,2045.3467
Africa (EI),,2013,2122.528
Africa (EI),,2014,2144.3142
Africa (EI),,2015,2202.6306
Africa (EI),,2016,2221.606
Africa (EI),,2017,2265.2363
Africa (EI),,2018,2299.4292
Africa (EI),,2019,2295.1206
Africa (EI),,2020,2055.2783
Africa (EI),,2021,2242.3948
Africa (EI),,2022,2361.337
Africa (EI),,2023,2358.9668
Algeria,DZA,1965,15.4052515
Algeria,DZA,1966,20.272705
Algeria,DZA,1967,18.94203
Algeria,DZA,1968,20.167301
Algeria,DZA,1969,21.305931
Algeria,DZA,1970,24.34768
Algeria,DZA,1971,27.440048
Algeria,DZA,1972,30.121414
Algeria,DZA,1973,32.900345
Algeria,DZA,1974,36.54384
Algeria,DZA,1975,40.63067
Algeria,DZA,1976,46.71773
Algeria,DZA,1977,52.80649
Algeria,DZA,1978,54.607944
Algeria,DZA,1979,65.31862
Algeria,DZA,1980,66.20243
Algeria,DZA,1981,71.323074
Algeria,DZA,1982,75.57342
Algeria,DZA,1983,84.89242
Algeria,DZA,1984,94.00201
Algeria,DZA,1985,96.5538
Algeria,DZA,1986,98.02125
Algeria,DZA,1987,99.10052
Algeria,DZA,1988,99.1726
Algeria,DZA,1989,103.93665
Algeria,DZA,1990,111.811615
Algeria,DZA,1991,110.627785
Algeria,DZA,1992,111.292656
Algeria,DZA,1993,110.754875
Algeria,DZA,1994,106.05089
Algeria,DZA,1995,103.14228
Algeria,DZA,1996,98.42207
Algeria,DZA,1997,97.64342
Algeria,DZA,1998,100.65875
Algeria,DZA,1999,98.898346
Algeria,DZA,2000,103.13248
Algeria,DZA,2001,106.77533
Algeria,DZA,2002,118.397224
Algeria,DZA,2003,123.17411
Algeria,DZA,2004,128.74683
Algeria,DZA,2005,134.21338
Algeria,DZA,2006,139.84572
Algeria,DZA,2007,156.39
Algeria,DZA,2008,169.9159
Algeria,DZA,2009,180.13441
Algeria,DZA,2010,181.61191
Algeria,DZA,2011,192.22765
Algeria,DZA,2012,204.39526
Algeria,DZA,2013,213.57639
Algeria,DZA,2014,221.92514
Algeria,DZA,2015,236.14848
Algeria,DZA,2016,229.56384
Algeria,DZA,2017,225.51212
Algeria,DZA,2018,227.7859
Algeria,DZA,2019,236.9513
Algeria,DZA,2020,211.92543
Algeria,DZA,2021,221.20369
Algeria,DZA,2022,226.85338
Algeria,DZA,2023,238.20117
Argentina,ARG,1965,275.2159
Argentina,ARG,1966,283.8763
Argentina,ARG,1967,290.73495
Argentina,ARG,1968,296.7972
Argentina,ARG,1969,308.01144
Argentina,ARG,1970,278.4355
Argentina,ARG,1971,296.5011
Argentina,ARG,1972,295.1862
Argentina,ARG,1973,297.19864
Argentina,ARG,1974,297.124
Argentina,ARG,1975,280.82806
Argentina,ARG,1976,290.2354
Argentina,ARG,1977,305.6577
Argentina,ARG,1978,297.30927
Argentina,ARG,1979,319.8096
Argentina,ARG,1980,297.0181
Argentina,ARG,1981,278.5258
Argentina,ARG,1982,265.01834
Argentina,ARG,1983,268.31186
Argentina,ARG,1984,255.45346
Argentina,ARG,1985,237.50685
Argentina,ARG,1986,249.74571
Argentina,ARG,1987,266.5798
Argentina,ARG,1988,268.36047
Argentina,ARG,1989,246.34749
Argentina,ARG,1990,229.97305
Argentina,ARG,1991,240.28345
Argentina,ARG,1992,252.70636
Argentina,ARG,1993,247.78004
Argentina,ARG,1994,261.49545
Argentina,ARG,1995,259.54364
Argentina,ARG,1996,259.82446
Argentina,ARG,1997,275.29974
Argentina,ARG,1998,283.28546
Argentina,ARG,1999,287.10687
Argentina,ARG,2000,264.93796
Argentina,ARG,2001,245.34851
Argentina,ARG,2002,232.86867
Argentina,ARG,2003,237.5023
Argentina,ARG,2004,254.68643
Argentina,ARG,2005,266.6645
Argentina,ARG,2006,281.325
Argentina,ARG,2007,312.6087
Argentina,ARG,2008,316.19568
Argentina,ARG,2009,302.02786
Argentina,ARG,2010,327.43576
Argentina,ARG,2011,339.91183
Argentina,ARG,2012,360.51144
Argentina,ARG,2013,382.57983
Argentina,ARG,2014,379.9156
Argentina,ARG,2015,387.81003
Argentina,ARG,2016,375.905
Argentina,ARG,2017,371.47742
Argentina,ARG,2018,354.6256
Argentina,ARG,2019,321.83243
Argentina,ARG,2020,288.1951
Argentina,ARG,2021,350.8908
Argentina,ARG,2022,411.80594
Argentina,ARG,2023,391.43518
Asia,,1965,2249.215
Asia,,1966,2581.3262
Asia,,1967,2914.7913
Asia,,1968,3263.2773
Asia,,1969,3828.2593
Asia,,1970,4448.1787
Asia,,1971,4877.7363
Asia,,1972,5359.248
Asia,,1973,6035.336
Asia,,1974,5968.027
Asia,,1975,6064.0723
Asia,,1976,6553.7173
Asia,,1977,6917.457
Asia,,1978,7268.521
Asia,,1979,7445.74
Asia,,1980,7003.3037
Asia,,1981,6927.8486
Asia,,1982,6932.0156
Asia,,1983,7244.4023
Asia,,1984,7398.5444
Asia,,1985,8199.984
Asia,,1986,8377.557
Asia,,1987,8769.265
Asia,,1988,9368.983
Asia,,1989,9777.364
Asia,,1990,10284.421
Asia,,1991,10684.44
Asia,,1992,11303.52
Asia,,1993,11763.414
Asia,,1994,12371.797
Asia,,1995,12968.518
Asia,,1996,13533.252
Asia,,1997,14183.697
Asia,,1998,13913.754
Asia,,1999,14329.453
Asia,,2000,14911.58
Asia,,2001,15051.745
Asia,,2002,15423.102
Asia,,2003,16043.241
Asia,,2004,17062.08
Asia,,2005,17375.066
Asia,,2006,17847.098
Asia,,2007,18353.783
Asia,,2008,18570.393
Asia,,2009,18659.377
Asia,,2010,19757.783
Asia,,2011,20283.998
Asia,,2012,21170.713
Asia,,2013,21572.434
Asia,,2014,21917.219
Asia,,2015,22717.434
Asia,,2016,23577.459
Asia,,2017,24234.176
Asia,,2018,24661.982
Asia,,2019,24869.031
Asia,,2020,23509.3
Asia,,2021,24311.85
Asia,,2022,25138.47
Asia,,2023,26346.426
Asia Pacific (EI),,1965,1948.4355
Asia Pacific (EI),,1966,2277.601
Asia Pacific (EI),,1967,2602.3276
Asia Pacific (EI),,1968,2945.135
Asia Pacific (EI),,1969,3489.0818
Asia Pacific (EI),,1970,4104.714
Asia Pacific (EI),,1971,4492.6836
Asia Pacific (EI),,1972,4929.4224
Asia Pacific (EI),,1973,5546.783
Asia Pacific (EI),,1974,5453.451
Asia Pacific (EI),,1975,5563.925
Asia Pacific (EI),,1976,5937.7886
Asia Pacific (EI),,1977,6180.505
Asia Pacific (EI),,1978,6472.86
Asia Pacific (EI),,1979,6544.3447
Asia Pacific (EI),,1980,6132.018
Asia Pacific (EI),,1981,5949.384
Asia Pacific (EI),,1982,5823.5405
Asia Pacific (EI),,1983,5946.6187
Asia Pacific (EI),,1984,5978.2393
Asia Pacific (EI),,1985,5998.3975
Asia Pacific (EI),,1986,6191.585
Asia Pacific (EI),,1987,6494.6035
Asia Pacific (EI),,1988,7015.1987
Asia Pacific (EI),,1989,7410.608
Asia Pacific (EI),,1990,7787.436
Asia Pacific (EI),,1991,8178.223
Asia Pacific (EI),,1992,8732.067
Asia Pacific (EI),,1993,9124.5
Asia Pacific (EI),,1994,9633.183
Asia Pacific (EI),,1995,10245.22
Asia Pacific (EI),,1996,10775.912
Asia Pacific (EI),,1997,11306.241
Asia Pacific (EI),,1998,11071.9795
Asia Pacific (EI),,1999,11541.22
Asia Pacific (EI),,2000,11934.534
Asia Pacific (EI),,2001,12020.818
Asia Pacific (EI),,2002,12302.249
Asia Pacific (EI),,2003,12824.504
Asia Pacific (EI),,2004,13609.821
Asia Pacific (EI),,2005,13754.691
Asia Pacific (EI),,2006,14049.638
Asia Pacific (EI),,2007,14497.481
Asia Pacific (EI),,2008,14452.993
Asia Pacific (EI),,2009,14544.89
Asia Pacific (EI),,2010,15492.63
Asia Pacific (EI),,2011,15883.359
Asia Pacific (EI),,2012,16568.738
Asia Pacific (EI),,2013,16802.957
Asia Pacific (EI),,2014,17034.527
Asia Pacific (EI),,2015,17810.514
Asia Pacific (EI),,2016,18480.309
Asia Pacific (EI),,2017,19091.6
Asia Pacific (EI),,2018,19539.6
Asia Pacific (EI),,2019,19871.473
Asia Pacific (EI),,2020,18787.066
Asia Pacific (EI),,2021,19298.129
Asia Pacific (EI),,2022,19781.64
Asia Pacific (EI),,2023,20861.533
Australia,AUS,1965,200.01936
Australia,AUS,1966,214.04755
Australia,AUS,1967,234.38776
Australia,AUS,1968,255.28499
Australia,AUS,1969,262.44812
Australia,AUS,1970,290.1954
Australia,AUS,1971,305.54456
Australia,AUS,1972,311.03336
Australia,AUS,1973,331.89294
Australia,AUS,1974,351.73514
Australia,AUS,1975,348.1045
Australia,AUS,1976,355.82147
Australia,AUS,1977,372.60074
Australia,AUS,1978,380.9467
Australia,AUS,1979,385.9148
Australia,AUS,1980,367.7676
Australia,AUS,1981,362.4183
Australia,AUS,1982,356.84915
Australia,AUS,1983,340.71588
Australia,AUS,1984,349.91428
Australia,AUS,1985,351.52405
Australia,AUS,1986,345.65332
Australia,AUS,1987,353.0262
Australia,AUS,1988,369.83664
Australia,AUS,1989,384.14526
Australia,AUS,1990,392.90448
Australia,AUS,1991,381.25473
Australia,AUS,1992,388.77893
Australia,AUS,1993,402.41638
Australia,AUS,1994,415.6745
Australia,AUS,1995,427.7775
Australia,AUS,1996,439.01538
Australia,AUS,1997,446.05783
Australia,AUS,1998,445.9702
Australia,AUS,1999,456.15396
Australia,AUS,2000,455.98157
Australia,AUS,2001,457.08533
Australia,AUS,2002,461.9748
Australia,AUS,2003,460.25992
Australia,AUS,2004,471.29572
Australia,AUS,2005,478.70187
Australia,AUS,2006,493.64178
Australia,AUS,2007,506.2703
Australia,AUS,2008,512.7159
Australia,AUS,2009,504.14078
Australia,AUS,2010,519.30676
Australia,AUS,2011,547.0603
Australia,AUS,2012,561.41907
Australia,AUS,2013,578.03705
Australia,AUS,2014,575.4282
Australia,AUS,2015,570.29706
Australia,AUS,2016,571.4592
Australia,AUS,2017,599.2556
Australia,AUS,2018,609.6345
Australia,AUS,2019,603.7836
Australia,AUS,2020,521.934
Australia,AUS,2021,535.49963
Australia,AUS,2022,568.55524
Australia,AUS,2023,601.6536
Austria,AUT,1965,65.29748
Austria,AUT,1966,71.78886
Austria,AUT,1967,76.54811
Austria,AUT,1968,88.466064
Austria,AUT,1969,97.22599
Austria,AUT,1970,107.04365
Austria,AUT,1971,119.607025
Austria,AUT,1972,129.12288
Austria,AUT,1973,139.92781
Austria,AUT,1974,125.22768
Austria,AUT,1975,126.55925
Austria,AUT,1976,137.41133
Austria,AUT,1977,131.58653
Austria,AUT,1978,141.56969
Austria,AUT,1979,147.40875
Austria,AUT,1980,143.88745
Austria,AUT,1981,130.63089
Austria,AUT,1982,123.90079
Austria,AUT,1983,120.07978
Austria,AUT,1984,116.79846
Austria,AUT,1985,116.985916
Austria,AUT,1986,123.21829
Austria,AUT,1987,126.860344
Austria,AUT,1988,125.97797
Austria,AUT,1989,124.222206
Austria,AUT,1990,127.43004
Austria,AUT,1991,136.87337
Austria,AUT,1992,134.1388
Austria,AUT,1993,136.78592
Austria,AUT,1994,134.74817
Austria,AUT,1995,135.62375
Austria,AUT,1996,147.85747
Austria,AUT,1997,147.18378
Austria,AUT,1998,155.29774
Austria,AUT,1999,147.58986
Austria,AUT,2000,145.70236
Austria,AUT,2001,155.1389
Austria,AUT,2002,157.87592
Austria,AUT,2003,167.63007
Austria,AUT,2004,170.16396
Austria,AUT,2005,170.74123
Austria,AUT,2006,169.86945
Austria,AUT,2007,163.24307
Austria,AUT,2008,158.70348
Austria,AUT,2009,149.56474
Austria,AUT,2010,154.07774
Austria,AUT,2011,145.06886
Austria,AUT,2012,142.3423
Austria,AUT,2013,145.6488
Austria,AUT,2014,141.4012
Austria,AUT,2015,142.84538
Austria,AUT,2016,146.15495
Austria,AUT,2017,146.42876
Austria,AUT,2018,148.91287
Austria,AUT,2019,153.20105
Austria,AUT,2020,133.02937
Austria,AUT,2021,140.21477
Austria,AUT,2022,135.03307
Austria,AUT,2023,135.02812
Azerbaijan,AZE,1985,97.18555
Azerbaijan,AZE,1986,101.817375
Azerbaijan,AZE,1987,95.826904
Azerbaijan,AZE,1988,98.14325
Azerbaijan,AZE,1989,95.70122
Azerbaijan,AZE,1990,100.39482
Azerbaijan,AZE,1991,96.801125
Azerbaijan,AZE,1992,94.319466
Azerbaijan,AZE,1993,94.055405
Azerbaijan,AZE,1994,86.15903
Azerbaijan,AZE,1995,77.6772
Azerbaijan,AZE,1996,69.77202
Azerbaijan,AZE,1997,66.40268
Azerbaijan,AZE,1998,69.87349
Azerbaijan,AZE,1999,67.245476
Azerbaijan,AZE,2000,74.69056
Azerbaijan,AZE,2001,47.594116
Azerbaijan,AZE,2002,43.6981
Azerbaijan,AZE,2003,50.912304
Azerbaijan,AZE,2004,54.5731
Azerbaijan,AZE,2005,63.798508
Azerbaijan,AZE,2006,57.112576
Azerbaijan,AZE,2007,56.478565
Azerbaijan,AZE,2008,44.33839
Azerbaijan,AZE,2009,37.846764
Azerbaijan,AZE,2010,37.243855
Azerbaijan,AZE,2011,48.970104
Azerbaijan,AZE,2012,51.289173
Azerbaijan,AZE,2013,55.715
Azerbaijan,AZE,2014,54.860176
Azerbaijan,AZE,2015,55.601353
Azerbaijan,AZE,2016,55.19285
Azerbaijan,AZE,2017,55.69909
Azerbaijan,AZE,2018,62.74092
Azerbaijan,AZE,2019,63.158752
Azerbaijan,AZE,2020,57.751198
Azerbaijan,AZE,2021,65.33924
Azerbaijan,AZE,2022,69.25949
Azerbaijan,AZE,2023,71.342064
Bangladesh,BGD,1971,8.135291
Bangladesh,BGD,1972,9.919018
Bangladesh,BGD,1973,11.208105
Bangladesh,BGD,1974,11.659564
Bangladesh,BGD,1975,13.631795
Bangladesh,BGD,1976,14.748875
Bangladesh,BGD,1977,14.522806
Bangladesh,BGD,1978,15.460121
Bangladesh,BGD,1979,17.112335
Bangladesh,BGD,1980,19.291002
Bangladesh,BGD,1981,19.89294
Bangladesh,BGD,1982,19.62132
Bangladesh,BGD,1983,17.547495
Bangladesh,BGD,1984,17.682053
Bangladesh,BGD,1985,19.738764
Bangladesh,BGD,1986,21.275486
Bangladesh,BGD,1987,20.945486
Bangladesh,BGD,1988,20.984262
Bangladesh,BGD,1989,22.941954
Bangladesh,BGD,1990,22.227821
Bangladesh,BGD,1991,20.622862
Bangladesh,BGD,1992,23.004263
Bangladesh,BGD,1993,25.769167
Bangladesh,BGD,1994,26.85683
Bangladesh,BGD,1995,34.853485
Bangladesh,BGD,1996,35.60648
Bangladesh,BGD,1997,40.876934
Bangladesh,BGD,1998,45.055756
Bangladesh,BGD,1999,40.18385
Bangladesh,BGD,2000,39.487724
Bangladesh,BGD,2001,47.166737
Bangladesh,BGD,2002,42.876194
Bangladesh,BGD,2003,43.89366
Bangladesh,BGD,2004,45.732254
Bangladesh,BGD,2005,46.99634
Bangladesh,BGD,2006,47.271736
Bangladesh,BGD,2007,45.713192
Bangladesh,BGD,2008,45.39375
Bangladesh,BGD,2009,42.925915
Bangladesh,BGD,2010,47.633118
Bangladesh,BGD,2011,60.01977
Bangladesh,BGD,2012,68.356895
Bangladesh,BGD,2013,69.63952
Bangladesh,BGD,2014,76.66483
Bangladesh,BGD,2015,92.684456
Bangladesh,BGD,2016,96.11048
Bangladesh,BGD,2017,108.25354
Bangladesh,BGD,2018,124.19396
Bangladesh,BGD,2019,121.87268
Bangladesh,BGD,2020,102.72055
Bangladesh,BGD,2021,140.56749
Bangladesh,BGD,2022,171.40193
Bangladesh,BGD,2023,143.81404
Belarus,BLR,1985,296.34033
Belarus,BLR,1986,350.1186
Belarus,BLR,1987,346.3062
Belarus,BLR,1988,335.46915
Belarus,BLR,1989,314.1269
Belarus,BLR,1990,311.8781
Belarus,BLR,1991,306.03107
Belarus,BLR,1992,226.37694
Belarus,BLR,1993,174.43303
Belarus,BLR,1994,142.50797
Belarus,BLR,1995,124.3167
Belarus,BLR,1996,122.27396
Belarus,BLR,1997,107.04149
Belarus,BLR,1998,101.113304
Belarus,BLR,1999,92.49213
Belarus,BLR,2000,91.41129
Belarus,BLR,2001,88.44919
Belarus,BLR,2002,93.12623
Belarus,BLR,2003,94.28708
Belarus,BLR,2004,92.36583
Belarus,BLR,2005,85.993576
Belarus,BLR,2006,100.91063
Belarus,BLR,2007,91.78464
Belarus,BLR,2008,91.367065
Belarus,BLR,2009,105.46239
Belarus,BLR,2010,90.623825
Belarus,BLR,2011,98.65504
Belarus,BLR,2012,121.07967
Belarus,BLR,2013,90.81036
Belarus,BLR,2014,93.06433
Belarus,BLR,2015,78.40431
Belarus,BLR,2016,84.303665
Belarus,BLR,2017,83.840485
Belarus,BLR,2018,97.46065
Belarus,BLR,2019,99.32727
Belarus,BLR,2020,95.60984
Belarus,BLR,2021,90.4254
Belarus,BLR,2022,83.48042
Belarus,BLR,2023,84.47235
Belgium,BEL,1965,188.46475
Belgium,BEL,1966,192.2603
Belgium,BEL,1967,212.03163
Belgium,BEL,1968,246.15921
Belgium,BEL,1969,284.00696
Belgium,BEL,1970,309.81564
Belgium,BEL,1971,317.5064
Belgium,BEL,1972,343.47244
Belgium,BEL,1973,360.63428
Belgium,BEL,1974,317.68402
Belgium,BEL,1975,301.48972
Belgium,BEL,1976,314.48248
Belgium,BEL,1977,309.30972
Belgium,BEL,1978,330.0505
Belgium,BEL,1979,328.01733
Belgium,BEL,1980,303.17267
Belgium,BEL,1981,277.88095
Belgium,BEL,1982,263.12488
Belgium,BEL,1983,238.75551
Belgium,BEL,1984,231.01208
Belgium,BEL,1985,234.47887
