Entity,Barili,Code
Venezuela,299953000000,VEN
Saudi Arabia,266578000000,SAU
Canada,170863000000,CAN
Iran,157530000000,IRN
Iraq,143069000000,IRQ
Kuwait,101500000000,KWT
United Arab Emirates,97800000000,ARE
Russia,80000000000,RUS
Libya,48363000000,LBY
Nigeria,37070000000,NGA
United States,35230000000,USA
Kazakhstan,30000000000,KAZ
Qatar,252440000000,QAT
China,25132122000,CHN
Brazil,16184100000,BRA
Algeria,12200000000,DZA
Mexico,9711000000,MEX
Angola,8423000000,AGO
Ecuador,8273000000,ECU
Azerbaijan,7000000000,AZE
Oman,5306000000,OMN
Norway,5138767000,NOR
Sudan,5000000000,SDN
India,4728790000,IND
Vietnam,4400000000,VNM
Egypt,4400000000,EGY
Indonesia,3692500000,IDN
Malaysia,3600000000,MYS
Yemen,3000000000,YEM
United Kingdom,2754685000,GBR
Syria,2500000000,SYR
Uganda,2500000000,UGA
Argentina,2379702000,ARG
Colombia,2308000000,COL
Gabon,2000000000,GAB
Congo,1600000000,COG
Chad,1500000000,TCD
Australia,1193000000,AUS
Brunei,1100000000,BRN
Equatorial Guinea,1100000000,GNQ
Trinidad and Tobago,728300000,TTO
Peru,682681000,PER
Ghana,660000000,GHA
Turkmenistan,600000000,TKM
Romania,600000000,ROU
Uzbekistan,594000000,UZB
Italy,579232000,ITA
Denmark,551000000,DNK
Tunisia,425000000,TUN
Thailand,404890000,THA
Ukraine,395000000,UKR
Pakistan,353500000,PAK
Turkey,312000000,TUR
Bolivia,211450000,BOL
Cameroon,200000000,CMR
Belarus,198000000,BLR
Papua New Guinea,180249000,PNG
DR Congo,180000000,COD
Albania,168332000,ALB
Chile,150000000,CHL
Niger,150000000,NER
Spain,150000000,ESP
Netherlands,140892000,NLD
Philippines,138500000,PHL
Poland,137752000,POL
Germany,132480000,DEU
Bahrain,124560000,BHR
Cuba,124000000,CUB
Suriname,99980000,SUR
Côte d'Ivoire,100000000,CIV
Guatemala,83070000,GTM
France,78431000,FRA
Serbia,77500000,SRB
Croatia,71000000,HRV
New Zealand,64100000,NZL
Myanmar,50000000,MMR
Austria,45400000,AUT
Japan,44115000,JPN
Kyrgyzstan,40000000,KGZ
Georgia,35000000,GEO
Hungary,28600000,HUN
Bangladesh,28000000,BGD
Mauritania,20000000,MRT
Bulgaria,15000000,BGR
Czech Republic (Czechia),15000000,CZE
South Africa,15000000,ZAF
Israel,13953000,ISR
Lithuania,12000000,LTU
Tajikistan,12000000,TJK
Greece,10000000,GRC
Slovakia,9000000,SVK
Benin,8000000,BEN
Belize,6700000,BLZ
Taiwan,2380000,TWN
Barbados,2315000,BRB
Jordan,1000000,JOR
Morocco,684000,MAR
Ethiopia,428000,ETH
