Entity,Code,Year,Wind capacity (total) (GW)
Afghanistan,AFG,2012,0.000100000005
Afghanistan,AFG,2013,0.000100000005
Afghanistan,AFG,2014,0.000100000005
Afghanistan,AFG,2015,0.000100000005
Afghanistan,AFG,2016,0.000100000005
Afghanistan,AFG,2017,0.00040000002
Afghanistan,AFG,2018,0.00040000002
Afghanistan,AFG,2019,0.00040000002
Afghanistan,AFG,2020,0.00040000002
Afghanistan,AFG,2021,0.00040000002
Afghanistan,AFG,2022,0.00040000002
Afghanistan,AFG,2023,0.00040000002
Africa,,2000,0.13905
Africa,,2001,0.13905
Africa,,2002,0.14431
Africa,,2003,0.15379001
Africa,,2004,0.23611002
Africa,,2005,0.24018002
Africa,,2006,0.32790503
Africa,,2007,0.47010002
Africa,,2008,0.5553
Africa,,2009,0.74240005
Africa,,2010,0.864777
Africa,,2011,0.99498206
Africa,,2012,1.1319941
Africa,,2013,1.741834
Africa,,2014,2.399398
Africa,,2015,3.3202682
Africa,,2016,3.8313942
Africa,,2017,4.5782633
Africa,,2018,5.470653
Africa,,2019,5.5278535
Africa,,2020,6.5137534
Africa,,2021,6.9087534
Africa,,2022,7.7448535
Africa,,2023,8.653628
Algeria,DZA,2014,0.0102
Algeria,DZA,2015,0.0102
Algeria,DZA,2016,0.0102
Algeria,DZA,2017,0.0102
Algeria,DZA,2018,0.010000001
Algeria,DZA,2019,0.010000001
Algeria,DZA,2020,0.010000001
Algeria,DZA,2021,0.010000001
Algeria,DZA,2022,0.010000001
Algeria,DZA,2023,0.010000001
Argentina,ARG,2000,0.0065430007
Argentina,ARG,2001,0.000069
Argentina,ARG,2002,0.0027690001
Argentina,ARG,2003,0.000069
Argentina,ARG,2004,0.000069
Argentina,ARG,2005,0.000069
Argentina,ARG,2006,0.000069
Argentina,ARG,2007,0.000069
Argentina,ARG,2008,0.000071
Argentina,ARG,2009,0.00088000007
Argentina,ARG,2010,0.0011340001
Argentina,ARG,2011,0.0074330005
Argentina,ARG,2012,0.11003301
Argentina,ARG,2013,0.16303201
Argentina,ARG,2014,0.18824002
Argentina,ARG,2015,0.18824002
Argentina,ARG,2016,0.18824002
Argentina,ARG,2017,0.227555
Argentina,ARG,2018,0.7511551
Argentina,ARG,2019,1.6094551
Argentina,ARG,2020,2.624
Argentina,ARG,2021,3.29222
Argentina,ARG,2022,3.3102202
Argentina,ARG,2023,3.7063203
Armenia,ARM,2005,0.0026400003
Armenia,ARM,2006,0.0026400003
Armenia,ARM,2007,0.0026400003
Armenia,ARM,2008,0.0026400003
Armenia,ARM,2009,0.0026400003
Armenia,ARM,2010,0.0026400003
Armenia,ARM,2011,0.0026400003
Armenia,ARM,2012,0.0026400003
Armenia,ARM,2013,0.0026400003
Armenia,ARM,2014,0.0026400003
Armenia,ARM,2015,0.0026
Armenia,ARM,2016,0.0029250002
Armenia,ARM,2017,0.0029250002
Armenia,ARM,2018,0.0029250002
Armenia,ARM,2019,0.0029250002
Armenia,ARM,2020,0.0029250002
Armenia,ARM,2021,0.0029250002
Armenia,ARM,2022,0.0029250002
Armenia,ARM,2023,0.0029000002
Aruba,ABW,2009,0.030000001
Aruba,ABW,2010,0.030000001
Aruba,ABW,2011,0.030000001
Aruba,ABW,2012,0.030000001
Aruba,ABW,2013,0.030000001
Aruba,ABW,2014,0.030000001
Aruba,ABW,2015,0.030000001
