Entity,Code,Year,Electricity from wind - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Other renewables including bioenergy - TWh
ASEAN (Ember),,2000,0,50.45,0,22.8
ASEAN (Ember),,2001,0,54.33,0,22.86
ASEAN (Ember),,2002,0,53.29,0,23.23
ASEAN (Ember),,2003,0,53.21,0,23.189999
ASEAN (Ember),,2004,0,52.99,0,24.97
ASEAN (Ember),,2005,0.02,53.88,0,25.3
ASEAN (Ember),,2006,0.05,60.52,0.04,25.66
ASEAN (Ember),,2007,0.06,63.25,0.04,27.49
ASEAN (Ember),,2008,0.06,69.94,0.04,29.580002
ASEAN (Ember),,2009,0.07,73.68,0.04,30.5
ASEAN (Ember),,2010,0.1,80.07,0.07,32.99
ASEAN (Ember),,2011,0.13,99.6,0.1,34.87
ASEAN (Ember),,2012,0.14,115.25,0.53,36.46
ASEAN (Ember),,2013,0.49,127.15,1.44,37.06
ASEAN (Ember),,2014,0.62,130.79,2.22,38.800003
ASEAN (Ember),,2015,1.26,122.53,2.86,41.07
ASEAN (Ember),,2016,1.57,144.38,5.16,43.75
ASEAN (Ember),,2017,2.55,181.12,6.33,47.61
ASEAN (Ember),,2018,3.47,188.73,6.88,52.93
ASEAN (Ember),,2019,5.91,162.53,13.61,53.59
ASEAN (Ember),,2020,5.79,178.56,20.12,55.07
ASEAN (Ember),,2021,7.63,191.56,35.88,59.07
ASEAN (Ember),,2022,13.09,216.76,37.21,67.21
ASEAN (Ember),,2023,16.11,192.33,38.51,69.26
Afghanistan,AFG,2000,0,0.31,0,0
Afghanistan,AFG,2001,0,0.5,0,0
Afghanistan,AFG,2002,0,0.56,0,0
Afghanistan,AFG,2003,0,0.63,0,0
Afghanistan,AFG,2004,0,0.56,0,0
Afghanistan,AFG,2005,0,0.59,0,0
Afghanistan,AFG,2006,0,0.64,0,0
Afghanistan,AFG,2007,0,0.75,0,0
Afghanistan,AFG,2008,0,0.54,0,0
Afghanistan,AFG,2009,0,0.78,0,0
Afghanistan,AFG,2010,0,0.75,0,0
Afghanistan,AFG,2011,0,0.6,0,0
Afghanistan,AFG,2012,0,0.71,0.03,0
Afghanistan,AFG,2013,0,0.86,0.03,0
Afghanistan,AFG,2014,0,0.97,0.03,0
Afghanistan,AFG,2015,0,1,0.03,0
Afghanistan,AFG,2016,0,1.02,0.04,0
Afghanistan,AFG,2017,0,1.05,0.04,0
Afghanistan,AFG,2018,0,0.93,0.04,0
Afghanistan,AFG,2019,0,0.84,0.05,0
Afghanistan,AFG,2020,0,0.62,0.06,0
Afghanistan,AFG,2021,0,0.62,0.08,0
Afghanistan,AFG,2022,0,0.62,0.08,0
Africa,,1965,0,13.905635,,
Africa,,1966,0,15.510005,,
Africa,,1967,0,16.190636,,
Africa,,1968,0,18.938341,,
Africa,,1969,0,22.100891,,
Africa,,1970,0,27.630428,,
Africa,,1971,0,26.01339,0,0.164
Africa,,1972,0,29.633196,0,0.165
Africa,,1973,0,31.345707,0,0.17
Africa,,1974,0,35.667076,0,0.175
Africa,,1975,0,37.717968,0,0.172
Africa,,1976,0,41.797634,0,0.185
Africa,,1977,0,45.92877,0,0.189
Africa,,1978,0,46.306942,0,0.195
Africa,,1979,0,49.56523,0,0.201
Africa,,1980,0,48.311787,0,0.207
Africa,,1981,0,50.192905,0,0.218
Africa,,1982,0,50.206238,0,0.236
Africa,,1983,0,45.24716,0,0.23
Africa,,1984,0,44.489975,0,0.234
Africa,,1985,0,49.449684,0,0.269
Africa,,1986,0,51.14537,0,0.659
Africa,,1987,0,49.05646,0,0.658
Africa,,1988,0,53.593452,0,0.626
Africa,,1989,0,56.27621,0,0.617
Africa,,1990,0,57.254658,0,0.80574995
Africa,,1991,0,60.65149,0,0.8217477
Africa,,1992,0,57.86029,0,0.85394657
Africa,,1993,0.002,56.682507,0,0.94937193
Africa,,1994,0.0054,57.59605,0,0.84669536
Africa,,1995,0.0063,59.75028,0,1.028464
Africa,,1996,0.0071,62.29786,0,1.2678368
Africa,,1997,0.0072,63.831898,0,1.3963903
Africa,,1998,0.0076,66.654884,0,1.724236
Africa,,1999,0.0198,70.68426,0,1.7097834
Africa,,2000,0.16999999,74.85,0.01,2.47
Africa,,2001,0.42000002,80.3,0.01,2.58
Africa,,2002,0.44,84.6,0.01,2.9699998
Africa,,2003,0.53,82.01,0.01,3.32
Africa,,2004,0.76,86.54,0.02,3.6899998
Africa,,2005,0.78,89.49,0.02,3.66
Africa,,2006,0.85,92.62,0.03,4.48
Africa,,2007,1.01,95.55,0.03,3.9099998
Africa,,2008,1.3100001,96.94,0.04,4.21
Africa,,2009,1.5999999,100.65,0.07,4.28
Africa,,2010,2.28,109.27,0.22,4.4700003
Africa,,2011,2.41,112.1,0.57,4.23
Africa,,2012,2.59,114.57,0.95,4.48
Africa,,2013,3.8300002,118.22,0.75,4.96
Africa,,2014,5.17,124.299995,1.8500001,6.16
Africa,,2015,8.98,122.39,3.6,7.62
Africa,,2016,11.21,120.82,4.98,8.13
Africa,,2017,13.44,126.4,7.08,8.3
Africa,,2018,15.2,135.68,8.57,8.530001
Africa,,2019,19.28,140.22,11.3,8.69
Africa,,2020,19.35,148.89,15.33,7.8999996
Africa,,2021,22.8,150.8,17.98,7.8999996
Africa,,2022,24.289999,151.62,21.08,8.32
Africa (EI),,1965,0,13.905635,,
Africa (EI),,1966,0,15.510004,,
Africa (EI),,1967,0,16.190636,,
Africa (EI),,1968,0,18.938341,,
Africa (EI),,1969,0,22.10089,,
Africa (EI),,1970,0,27.63043,,
Africa (EI),,1971,0,26.013391,0,0.164
Africa (EI),,1972,0,29.633196,0,0.165
Africa (EI),,1973,0,31.345707,0,0.17
Africa (EI),,1974,0,35.667076,0,0.175
Africa (EI),,1975,0,37.71797,0,0.172
Africa (EI),,1976,0,41.797634,0,0.185
Africa (EI),,1977,0,45.92877,0,0.189
Africa (EI),,1978,0,46.30694,0,0.195
Africa (EI),,1979,0,49.56523,0,0.201
Africa (EI),,1980,0,48.311783,0,0.207
Africa (EI),,1981,0,50.192905,0,0.218
Africa (EI),,1982,0,50.206238,0,0.236
Africa (EI),,1983,0,45.24716,0,0.23
Africa (EI),,1984,0,44.489975,0,0.234
Africa (EI),,1985,0,49.449684,0,0.269
Africa (EI),,1986,0,51.145374,0,0.659
Africa (EI),,1987,0,49.05646,0,0.658
Africa (EI),,1988,0,53.593456,0,0.626
Africa (EI),,1989,0,56.276215,0,0.617
Africa (EI),,1990,0,57.254658,0,0.80574995
Africa (EI),,1991,0,60.65149,0,0.8217477
Africa (EI),,1992,0,57.86029,0,0.85394657
Africa (EI),,1993,0.002,56.682507,0,0.94937193
Africa (EI),,1994,0.0054,57.59605,0,0.84669536
Africa (EI),,1995,0.0063,59.75028,0,1.028464
Africa (EI),,1996,0.0071,62.29786,0,1.2678369
Africa (EI),,1997,0.0072,63.831898,0,1.3963903
Africa (EI),,1998,0.0076,66.654884,0,1.724236
Africa (EI),,1999,0.0198,70.68426,0,1.7097833
Africa (EI),,2000,0.1755,75.261475,0.012091,2.2749128
Africa (EI),,2001,0.41558,80.87417,0.015221,2.3482146
Africa (EI),,2002,0.443584,85.03247,0.016714713,2.3121176
Africa (EI),,2003,0.535599,82.58096,0.019765295,2.6455586
Africa (EI),,2004,0.7682815,87.225296,0.02388188,3.0130265
Africa (EI),,2005,0.7803882,88.84289,0.028277464,3.0694032
Africa (EI),,2006,0.852607,92.055176,0.03631621,3.8381698
Africa (EI),,2007,1.0163264,95.20521,0.046026807,3.1995003
Africa (EI),,2008,1.3119144,96.973595,0.06478197,3.3222678
Africa (EI),,2009,1.5895555,99.5665,0.08613463,3.6504948
Africa (EI),,2010,2.2847242,107.685455,0.20400244,3.8558366
Africa (EI),,2011,2.3878222,110.73607,0.5903406,3.9861517
Africa (EI),,2012,2.517554,110.89032,0.9536753,4.306353
Africa (EI),,2013,3.5956278,117.21857,0.74169177,4.625227
Africa (EI),,2014,5.062259,123.89524,1.856844,5.6359253
Africa (EI),,2015,8.912872,120.74273,3.5471861,7.2260575
Africa (EI),,2016,11.178585,119.06743,5.2606897,7.319344
Africa (EI),,2017,13.614108,125.24527,6.898775,7.5303874
Africa (EI),,2018,14.764542,134.10474,8.324819,8.214826
Africa (EI),,2019,19.283367,138.48442,11.015306,8.299071
Africa (EI),,2020,19.111538,147.66562,15.122826,7.9900856
Africa (EI),,2021,22.959595,152.48972,17.333729,7.9994984
Africa (EI),,2022,24.339098,156.2567,17.781008,8.432114
Africa (EI),,2023,27.82143,161.64522,19.197226,9.703742
Africa (Ember),,2000,0.17,74.85,0.01,2.47
Africa (Ember),,2001,0.42,80.3,0.01,2.58
Africa (Ember),,2002,0.44,84.6,0.01,2.9699998
Africa (Ember),,2003,0.53,82.01,0.01,3.32
Africa (Ember),,2004,0.76,86.54,0.02,3.69
Africa (Ember),,2005,0.78,89.49,0.02,3.66
Africa (Ember),,2006,0.85,92.62,0.03,4.48
Africa (Ember),,2007,1.01,95.55,0.03,3.91
Africa (Ember),,2008,1.31,96.94,0.04,4.21
Africa (Ember),,2009,1.6,100.65,0.07,4.28
Africa (Ember),,2010,2.28,109.27,0.22,4.4700003
Africa (Ember),,2011,2.41,112.1,0.57,4.23
Africa (Ember),,2012,2.59,114.57,0.95,4.48
Africa (Ember),,2013,3.83,118.22,0.75,4.96
Africa (Ember),,2014,5.17,124.3,1.85,6.16
Africa (Ember),,2015,8.98,122.39,3.6,7.62
Africa (Ember),,2016,11.21,120.82,4.98,8.13
Africa (Ember),,2017,13.44,126.4,7.08,8.3
Africa (Ember),,2018,15.2,135.68,8.57,8.530001
Africa (Ember),,2019,19.28,140.22,11.3,8.69
Africa (Ember),,2020,19.35,148.89,15.33,7.8999996
Africa (Ember),,2021,22.8,150.8,17.98,7.8999996
Africa (Ember),,2022,24.29,151.98,21.35,8.559999
Africa (Ember),,2023,26.99,150.8,27.14,9.03
Albania,ALB,2000,0,4.55,0,0
Albania,ALB,2001,0,3.52,0,0
Albania,ALB,2002,0,3.48,0,0
Albania,ALB,2003,0,5.12,0,0
Albania,ALB,2004,0,5.41,0,0
Albania,ALB,2005,0,5.32,0,0
Albania,ALB,2006,0,4.95,0,0
Albania,ALB,2007,0,2.76,0,0
Albania,ALB,2008,0,3.76,0,0
Albania,ALB,2009,0,5.2,0,0
Albania,ALB,2010,0,7.57,0,0
Albania,ALB,2011,0,4.13,0,0
Albania,ALB,2012,0,4.72,0,0
Albania,ALB,2013,0,6.96,0,0
Albania,ALB,2014,0,4.72,0,0
Albania,ALB,2015,0,5.89,0,0
Albania,ALB,2016,0,7.78,0,0
Albania,ALB,2017,0,4.53,0,0
Albania,ALB,2018,0,8.55,0,0
Albania,ALB,2019,0,5.18,0.02,0
Albania,ALB,2020,0,5.28,0.03,0
Albania,ALB,2021,0,8.92,0.04,0
Albania,ALB,2022,0,6.96,0.04,0
Algeria,DZA,1990,0,0.135,0,0
Algeria,DZA,1991,0,0.293,0,0
Algeria,DZA,1992,0,0.199,0,0
Algeria,DZA,1993,0,0.353,0,0
Algeria,DZA,1994,0,0.166,0,0
Algeria,DZA,1995,0,0.193,0,0
Algeria,DZA,1996,0,0.135,0,0
Algeria,DZA,1997,0,0.075,0,0
Algeria,DZA,1998,0,0.215,0,0
Algeria,DZA,1999,0,0.203,0,0
Algeria,DZA,2000,0,0.05,0,0
Algeria,DZA,2001,0,0.07,0,0
Algeria,DZA,2002,0,0.06,0,0
Algeria,DZA,2003,0,0.26,0,0
Algeria,DZA,2004,0,0.25,0,0
Algeria,DZA,2005,0,0.55,0,0
Algeria,DZA,2006,0,0.22,0,0
Algeria,DZA,2007,0,0.22,0,0
Algeria,DZA,2008,0,0.28,0,0
Algeria,DZA,2009,0,0.3,0,0
Algeria,DZA,2010,0,0.17,0,0
Algeria,DZA,2011,0,0.5,0,0
Algeria,DZA,2012,0,0.62,0,0
Algeria,DZA,2013,0,0.33,0,0
Algeria,DZA,2014,0,0.25,0,0
Algeria,DZA,2015,0.02,0.14,0.06,0
Algeria,DZA,2016,0.03,0.22,0.09,0
Algeria,DZA,2017,0.01,0.06,0.57,0
Algeria,DZA,2018,0.01,0.12,0.65,0
Algeria,DZA,2019,0.01,0.15,0.68,0
Algeria,DZA,2020,0.01,0.05,0.67,0
Algeria,DZA,2021,0.01,0.01,0.64,0
Algeria,DZA,2022,0.01,0.01,0.66,0
Algeria,DZA,2023,0.016,0.06878,0.649,0
Algeria,DZA,1965,,0.4,,
Algeria,DZA,1966,,0.355,,
Algeria,DZA,1967,,0.41,,
Algeria,DZA,1968,,0.563,,
Algeria,DZA,1969,,0.361,,
Algeria,DZA,1970,,0.58,,
Algeria,DZA,1971,,0.33,,
Algeria,DZA,1972,,0.495,,
Algeria,DZA,1973,,0.752,,
Algeria,DZA,1974,,0.497,,
Algeria,DZA,1975,,0.328,,
Algeria,DZA,1976,,0.389,,
Algeria,DZA,1977,,0.269,,
Algeria,DZA,1978,,0.25,,
Algeria,DZA,1979,,0.291,,
Algeria,DZA,1980,,0.257,,
Algeria,DZA,1981,,0.366,,
Algeria,DZA,1982,,0.479,,
Algeria,DZA,1983,,0.235,,
Algeria,DZA,1984,,0.452,,
Algeria,DZA,1985,,0.646,,
Algeria,DZA,1986,,0.25,,
Algeria,DZA,1987,,0.499,,
Algeria,DZA,1988,,0.183,,
Algeria,DZA,1989,,0.226,,
American Samoa,ASM,2000,0,0,0,0
American Samoa,ASM,2001,0,0,0,0
American Samoa,ASM,2002,0,0,0,0
American Samoa,ASM,2003,0,0,0,0
American Samoa,ASM,2004,0,0,0,0
American Samoa,ASM,2005,0,0,0,0
American Samoa,ASM,2006,0,0,0,0
American Samoa,ASM,2007,0,0,0,0
American Samoa,ASM,2008,0,0,0,0
American Samoa,ASM,2009,0,0,0,0
American Samoa,ASM,2010,0,0,0,0
American Samoa,ASM,2011,0,0,0,0
American Samoa,ASM,2012,0,0,0,0
American Samoa,ASM,2013,0,0,0,0
American Samoa,ASM,2014,0,0,0,0
American Samoa,ASM,2015,0,0,0,0
American Samoa,ASM,2016,0,0,0,0
American Samoa,ASM,2017,0,0,0,0
American Samoa,ASM,2018,0,0,0,0
American Samoa,ASM,2019,0,0,0,0
American Samoa,ASM,2020,0,0,0,0
American Samoa,ASM,2021,0,0,0,0
American Samoa,ASM,2022,0,0,0.01,0
Angola,AGO,2000,0,0.91,0,0
Angola,AGO,2001,0,1.02,0,0
Angola,AGO,2002,0,1.14,0,0
Angola,AGO,2003,0,1.24,0,0
Angola,AGO,2004,0,1.75,0,0
Angola,AGO,2005,0,2.22,0,0
Angola,AGO,2006,0,2.54,0,0
Angola,AGO,2007,0,2.49,0,0
Angola,AGO,2008,0,3.15,0,0
Angola,AGO,2009,0,3.27,0,0
Angola,AGO,2010,0,3.7,0.01,0
Angola,AGO,2011,0,4.01,0.01,0
Angola,AGO,2012,0,5.47,0.01,0
Angola,AGO,2013,0,4.72,0.01,0
Angola,AGO,2014,0,4.99,0.02,0.04
Angola,AGO,2015,0,5.28,0.02,0.04
Angola,AGO,2016,0,6.36,0.02,0.05
Angola,AGO,2017,0,7.65,0.02,0.05
Angola,AGO,2018,0,10.37,0.02,0.05
Angola,AGO,2019,0,11.51,0.02,0.05
Angola,AGO,2020,0,12.64,0.02,0.05
Angola,AGO,2021,0,12.64,0.02,0.05
Angola,AGO,2022,0,12.64,0.02,0.05
Antigua and Barbuda,ATG,2000,0,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0,0
Antigua and Barbuda,ATG,2002,0,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0
