Entity,Code,Year,Solar (% equivalent primary energy)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.0011186583
Africa,,2001,0.0013507513
Africa,,2002,0.0014549311
Africa,,2003,0.0016306301
Africa,,2004,0.0018232085
Africa,,2005,0.0021389686
Africa,,2006,0.00267818
Africa,,2007,0.0032484736
Africa,,2008,0.0042878753
Africa,,2009,0.00557131
Africa,,2010,0.0127121555
Africa,,2011,0.036249544
Africa,,2012,0.055944297
Africa,,2013,0.042049393
Africa,,2014,0.101840355
Africa,,2015,0.18934341
Africa,,2016,0.27154464
Africa,,2017,0.34255862
Africa,,2018,0.4010703
Africa,,2019,0.5175547
Africa,,2020,0.7468416
Africa,,2021,0.7867465
Africa,,2022,0.7965593
Africa,,2023,0.86022615
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0
Africa (EI),,1994,0
Africa (EI),,1995,0
Africa (EI),,1996,0
Africa (EI),,1997,0
Africa (EI),,1998,0
Africa (EI),,1999,0
Africa (EI),,2000,0.0011186616
Africa (EI),,2001,0.0013507543
Africa (EI),,2002,0.0014549295
Africa (EI),,2003,0.0016306356
Africa (EI),,2004,0.0018232071
Africa (EI),,2005,0.0021389644
Africa (EI),,2006,0.0026781857
Africa (EI),,2007,0.00324847
Africa (EI),,2008,0.004287875
Africa (EI),,2009,0.005571305
Africa (EI),,2010,0.012712145
Africa (EI),,2011,0.036249544
Africa (EI),,2012,0.055944297
Africa (EI),,2013,0.042049393
Africa (EI),,2014,0.10184037
Africa (EI),,2015,0.18934341
Africa (EI),,2016,0.27154464
Africa (EI),,2017,0.34255862
Africa (EI),,2018,0.4010703
Africa (EI),,2019,0.5175547
Africa (EI),,2020,0.7468416
Africa (EI),,2021,0.78674626
Africa (EI),,2022,0.7965593
Africa (EI),,2023,0.86022615
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.005753547
Algeria,DZA,2011,0.010760947
Algeria,DZA,2012,0.014433097
Algeria,DZA,2013,0.014515888
Algeria,DZA,2014,0.027756512
Algeria,DZA,2015,0.025293589
Algeria,DZA,2016,0.106301226
Algeria,DZA,2017,0.2150211
Algeria,DZA,2018,0.23825064
Algeria,DZA,2019,0.23347387
Algeria,DZA,2020,0.27724013
Algeria,DZA,2021,0.24553508
Algeria,DZA,2022,0.23046187
Algeria,DZA,2023,0.23913132
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.0000073020133
Argentina,ARG,1999,0.0000110451665
Argentina,ARG,2000,0.000015233995
Argentina,ARG,2001,0.0000185085
Argentina,ARG,2002,0.000020961166
Argentina,ARG,2003,0.000026871925
Argentina,ARG,2004,0.000027082553
Argentina,ARG,2005,0.000029340192
Argentina,ARG,2006,0.00003083362
Argentina,ARG,2007,0.000035572044
Argentina,ARG,2008,0.000046034613
Argentina,ARG,2009,0.00002492412
Argentina,ARG,2010,0.000026968635
Argentina,ARG,2011,0.0004897719
Argentina,ARG,2012,0.0023746525
Argentina,ARG,2013,0.004186176
Argentina,ARG,2014,0.00440818
Argentina,ARG,2015,0.0039662197
Argentina,ARG,2016,0.003850112
Argentina,ARG,2017,0.00440694
Argentina,ARG,2018,0.02906322
Argentina,ARG,2019,0.22731037
Argentina,ARG,2020,0.40590447
Argentina,ARG,2021,0.60133195
Argentina,ARG,2022,0.74463993
Argentina,ARG,2023,0.8336489
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.000046073295
Asia,,1991,0.000044263998
Asia,,1992,0.00016417923
Asia,,1993,0.00028957304
Asia,,1994,0.0003478845
Asia,,1995,0.00045957582
Asia,,1996,0.0006450488
Asia,,1997,0.001005002
Asia,,1998,0.001442371
Asia,,1999,0.0020524568
Asia,,2000,0.0030506449
Asia,,2001,0.004258661
Asia,,2002,0.005612176
Asia,,2003,0.0070712557
Asia,,2004,0.008458315
Asia,,2005,0.009922963
Asia,,2006,0.011562554
Asia,,2007,0.01298979
Asia,,2008,0.015159415
Asia,,2009,0.019087182
Asia,,2010,0.025318269
Asia,,2011,0.042558946
Asia,,2012,0.06140974
Asia,,2013,0.11143086
Asia,,2014,0.2185591
Asia,,2015,0.3287305
Asia,,2016,0.48631224
Asia,,2017,0.7323384
Asia,,2018,1.0004429
Asia,,2019,1.2248677
Asia,,2020,1.4713756
Asia,,2021,1.737977
Asia,,2022,2.1259146
Asia,,2023,2.5854473
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
Asia Pacific (EI),,1986,0
Asia Pacific (EI),,1987,0
Asia Pacific (EI),,1988,0
Asia Pacific (EI),,1989,0
Asia Pacific (EI),,1990,0.000055936114
Asia Pacific (EI),,1991,0.00012601099
Asia Pacific (EI),,1992,0.00035190862
Asia Pacific (EI),,1993,0.0005215466
Asia Pacific (EI),,1994,0.0006132101
Asia Pacific (EI),,1995,0.00077458355
Asia Pacific (EI),,1996,0.0010273448
Asia Pacific (EI),,1997,0.0014924472
Asia Pacific (EI),,1998,0.002062427
Asia Pacific (EI),,1999,0.002806311
Asia Pacific (EI),,2000,0.004024618
Asia Pacific (EI),,2001,0.0055000745
Asia Pacific (EI),,2002,0.0071106283
Asia Pacific (EI),,2003,0.008786169
Asia Pacific (EI),,2004,0.010420147
Asia Pacific (EI),,2005,0.012134066
Asia Pacific (EI),,2006,0.0140852425
Asia Pacific (EI),,2007,0.015806362
