Entity,Code,Year,Wind (% equivalent primary energy)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.00022302852
Africa,,1994,0.00058254966
Africa,,1995,0.00065322715
Africa,,1996,0.0007178782
Africa,,1997,0.0007128843
Africa,,1998,0.00074099423
Africa,,1999,0.0018730776
Africa,,2000,0.016237248
Africa,,2001,0.036879703
Africa,,2002,0.038611684
Africa,,2003,0.044186793
Africa,,2004,0.058652762
Africa,,2005,0.059030194
Africa,,2006,0.06287652
Africa,,2007,0.07173005
Africa,,2008,0.086834714
Africa,,2009,0.10281464
Africa,,2010,0.14236966
Africa,,2011,0.14662294
Africa,,2012,0.14768422
Africa,,2013,0.20385015
Africa,,2014,0.2776444
Africa,,2015,0.47575557
Africa,,2016,0.5770128
Africa,,2017,0.6760085
Africa,,2018,0.7113211
Africa,,2019,0.90603
Africa,,2020,0.94382435
Africa,,2021,1.0420942
Africa,,2022,1.0903507
Africa,,2023,1.2466763
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.00022302852
Africa (EI),,1994,0.00058254966
Africa (EI),,1995,0.00065322715
Africa (EI),,1996,0.0007178782
Africa (EI),,1997,0.0007128843
Africa (EI),,1998,0.00074099423
Africa (EI),,1999,0.001873075
Africa (EI),,2000,0.016237248
Africa (EI),,2001,0.036879703
Africa (EI),,2002,0.038611684
Africa (EI),,2003,0.044186786
Africa (EI),,2004,0.058652762
Africa (EI),,2005,0.059030194
Africa (EI),,2006,0.06287653
Africa (EI),,2007,0.071730055
Africa (EI),,2008,0.08683472
Africa (EI),,2009,0.10281464
Africa (EI),,2010,0.14236964
Africa (EI),,2011,0.14662293
Africa (EI),,2012,0.14768422
Africa (EI),,2013,0.20385015
Africa (EI),,2014,0.27764443
Africa (EI),,2015,0.47575557
Africa (EI),,2016,0.5770127
Africa (EI),,2017,0.6760084
Africa (EI),,2018,0.7113211
Africa (EI),,2019,0.90603
Africa (EI),,2020,0.94382435
Africa (EI),,2021,1.0420942
Africa (EI),,2022,1.0903507
Africa (EI),,2023,1.2466761
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.00046260856
Algeria,DZA,2015,0.008285812
Algeria,DZA,2016,0.008266354
Algeria,DZA,2017,0.008105944
Algeria,DZA,2018,0.003951089
Algeria,DZA,2019,0.0037963223
Algeria,DZA,2020,0.0031164202
Algeria,DZA,2021,0.0038827092
Algeria,DZA,2022,0.0056816502
Algeria,DZA,2023,0.0058953674
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.004327963
Argentina,ARG,1997,0.0064908606
Argentina,ARG,1998,0.013977314
Argentina,ARG,1999,0.014775456
Argentina,ARG,2000,0.014708434
Argentina,ARG,2001,0.021246457
Argentina,ARG,2002,0.0327373
Argentina,ARG,2003,0.032227308
Argentina,ARG,2004,0.02802891
Argentina,ARG,2005,0.025978642
Argentina,ARG,2006,0.023858363
Argentina,ARG,2007,0.020119285
Argentina,ARG,2008,0.013439119
Argentina,ARG,2009,0.012065503
Argentina,ARG,2010,0.007960149
Argentina,ARG,2011,0.008068957
Argentina,ARG,2012,0.10746326
Argentina,ARG,2013,0.12590012
Argentina,ARG,2014,0.17127606
Argentina,ARG,2015,0.16027391
Argentina,ARG,2016,0.1476486
Argentina,ARG,2017,0.16416803
Argentina,ARG,2018,0.3797175
Argentina,ARG,2019,1.4200798
Argentina,ARG,2020,2.8413713
Argentina,ARG,2021,3.5320508
Argentina,ARG,2022,3.5875971
Argentina,ARG,2023,3.6874313
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.00038382772
Asia,,1991,0.0013611261
Asia,,1992,0.002338583
Asia,,1993,0.003148228
Asia,,1994,0.0055862265
Asia,,1995,0.010346154
Asia,,1996,0.008684253
Asia,,1997,0.010328136
Asia,,1998,0.012568517
Asia,,1999,0.01695789
Asia,,2000,0.019112792
Asia,,2001,0.024669502
Asia,,2002,0.025335839
Asia,,2003,0.030910153
Asia,,2004,0.049644843
Asia,,2005,0.05762489
Asia,,2006,0.084829114
Asia,,2007,0.105574004
Asia,,2008,0.15534104
Asia,,2009,0.23473294
Asia,,2010,0.33698624
Asia,,2011,0.45014882
Asia,,2012,0.5657017
Asia,,2013,0.7037088
Asia,,2014,0.77663356
Asia,,2015,0.86497694
Asia,,2016,1.0984392
Asia,,2017,1.317107
Asia,,2018,1.5062996
Asia,,2019,1.6083661
Asia,,2020,1.8089244
Asia,,2021,2.3354595
Asia,,2022,2.6166854
Asia,,2023,2.8904676
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
