Entity,Code,Year,"Energy imports, net (% of energy use)"
Albania,ALB,1971,-41.699413
Albania,ALB,1972,-53.634235
Albania,ALB,1973,-72.518524
Albania,ALB,1974,-49.218273
Albania,ALB,1975,-47.195175
Albania,ALB,1976,-41.390465
Albania,ALB,1977,-37.406963
Albania,ALB,1978,-34.85332
Albania,ALB,1979,-50.543976
Albania,ALB,1980,-12.258245
Albania,ALB,1981,-0.07642915
Albania,ALB,1982,1.1290295
Albania,ALB,1983,0.8518419
Albania,ALB,1984,-2.264095
Albania,ALB,1985,-3.8158615
Albania,ALB,1986,-3.3111959
Albania,ALB,1987,-2.5195637
Albania,ALB,1988,0.42061067
Albania,ALB,1989,-0.65685207
Albania,ALB,1990,7.9650583
Albania,ALB,1991,-2.783624
Albania,ALB,1992,-3.3762507
Albania,ALB,1993,-0.09775597
Albania,ALB,1994,9.330732
Albania,ALB,1995,6.635916
Albania,ALB,1996,6.2913027
Albania,ALB,1997,8.699857
Albania,ALB,1998,18.412903
Albania,ALB,1999,40.249672
Albania,ALB,2000,45.00241
Albania,ALB,2001,51.688786
Albania,ALB,2002,53.0441
Albania,ALB,2003,49.014633
Albania,ALB,2004,46.003815
Albania,ALB,2005,47.76617
Albania,ALB,2006,42.377003
Albania,ALB,2007,47.99839
Albania,ALB,2008,45.219326
Albania,ALB,2009,41.667244
Albania,ALB,2010,23.713985
Albania,ALB,2011,33.26029
Albania,ALB,2012,16.297869
Albania,ALB,2013,12.320705
Albania,ALB,2014,13.797971
Algeria,DZA,1971,-1098.053
Algeria,DZA,1972,-1261.3542
Algeria,DZA,1973,-1071.4097
Algeria,DZA,1974,-927.0573
Algeria,DZA,1975,-860.7418
Algeria,DZA,1976,-833.00555
Algeria,DZA,1977,-780.2669
Algeria,DZA,1978,-700.4775
Algeria,DZA,1979,-588.9017
Algeria,DZA,1980,-486.65326
Algeria,DZA,1981,-451.4989
Algeria,DZA,1982,-324.3415
Algeria,DZA,1983,-332.10593
Algeria,DZA,1984,-353.23105
Algeria,DZA,1985,-355.11755
Algeria,DZA,1986,-319.62582
Algeria,DZA,1987,-348.65274
Algeria,DZA,1988,-335.35535
Algeria,DZA,1989,-357.44406
Algeria,DZA,1990,-351.21255
Algeria,DZA,1991,-337.1058
Algeria,DZA,1992,-333.76028
Algeria,DZA,1993,-335.217
Algeria,DZA,1994,-332.9506
Algeria,DZA,1995,-340.14453
Algeria,DZA,1996,-379.8625
Algeria,DZA,1997,-405.6179
Algeria,DZA,1998,-410.45157
Algeria,DZA,1999,-415.38477
Algeria,DZA,2000,-426.80353
Algeria,DZA,2001,-405.607
Algeria,DZA,2002,-394.6625
Algeria,DZA,2003,-405.0418
Algeria,DZA,2004,-407.11578
Algeria,DZA,2005,-414.04535
Algeria,DZA,2006,-375.0793
Algeria,DZA,2007,-345.94473
Algeria,DZA,2008,-334.70245
Algeria,DZA,2009,-275.4256
Algeria,DZA,2010,-275.4635
Algeria,DZA,2011,-248.73482
Algeria,DZA,2012,-212.76593
Algeria,DZA,2013,-189.34547
Algeria,DZA,2014,-177.12436
Angola,AGO,1971,-136.78992
Angola,AGO,1972,-153.69331
Angola,AGO,1973,-182.75728
Angola,AGO,1974,-187.07536
Angola,AGO,1975,-176.5255
Angola,AGO,1976,-173.9744
Angola,AGO,1977,-166.83002
Angola,AGO,1978,-130.49094
Angola,AGO,1979,-145.52095
Angola,AGO,1980,-147.65349
Angola,AGO,1981,-124.34031
Angola,AGO,1982,-129.53694
Angola,AGO,1983,-177.16272
Angola,AGO,1984,-203.6956
Angola,AGO,1985,-215.48706
Angola,AGO,1986,-263.26978
Angola,AGO,1987,-331.78354
Angola,AGO,1988,-403.08926
Angola,AGO,1989,-394.39523
Angola,AGO,1990,-387.01804
Angola,AGO,1991,-397.26605
Angola,AGO,1992,-440.71854
Angola,AGO,1993,-386.72437
Angola,AGO,1994,-418.0932
Angola,AGO,1995,-472.4065
Angola,AGO,1996,-507.334
Angola,AGO,1997,-520.2322
Angola,AGO,1998,-542.3707
Angola,AGO,1999,-519.3524
Angola,AGO,2000,-504.159
Angola,AGO,2001,-475.11127
Angola,AGO,2002,-550.7142
Angola,AGO,2003,-501.43665
Angola,AGO,2004,-555.8095
Angola,AGO,2005,-735.8643
Angola,AGO,2006,-759.6288
Angola,AGO,2007,-858.18884
Angola,AGO,2008,-885.2459
Angola,AGO,2009,-764.54944
Angola,AGO,2010,-703.7724
Angola,AGO,2011,-619.0539
Angola,AGO,2012,-589.5061
Angola,AGO,2013,-594.54614
Angola,AGO,2014,-540.9975
Argentina,ARG,1971,9.1835785
Argentina,ARG,1972,9.454199
Argentina,ARG,1973,14.226956
Argentina,ARG,1974,14.95534
Argentina,ARG,1975,14.74383
Argentina,ARG,1976,16.545057
Argentina,ARG,1977,14.363199
Argentina,ARG,1978,12.843701
Argentina,ARG,1979,11.555825
Argentina,ARG,1980,7.168715
Argentina,ARG,1981,3.3733933
Argentina,ARG,1982,2.651543
Argentina,ARG,1983,-0.40850073
Argentina,ARG,1984,0.894509
Argentina,ARG,1985,-2.9173038
Argentina,ARG,1986,2.269006
Argentina,ARG,1987,6.381494
Argentina,ARG,1988,3.3195825
Argentina,ARG,1989,-1.5773549
Argentina,ARG,1990,-5.1097116
Argentina,ARG,1991,-5.754621
Argentina,ARG,1992,-8.781368
Argentina,ARG,1993,-14.06663
Argentina,ARG,1994,-17.16983
Argentina,ARG,1995,-24.200445
Argentina,ARG,1996,-29.506468
Argentina,ARG,1997,-32.776035
Argentina,ARG,1998,-32.97148
Argentina,ARG,1999,-32.320274
Argentina,ARG,2000,-34.652565
Argentina,ARG,2001,-45.53511
Argentina,ARG,2002,-45.622128
Argentina,ARG,2003,-41.417183
Argentina,ARG,2004,-29.824429
Argentina,ARG,2005,-26.542803
Argentina,ARG,2006,-18.15882
Argentina,ARG,2007,-12.669947
Argentina,ARG,2008,-6.2315927
Argentina,ARG,2009,-7.354513
Argentina,ARG,2010,-1.0720413
Argentina,ARG,2011,3.217909
Argentina,ARG,2012,6.141448
Argentina,ARG,2013,12.688578
Argentina,ARG,2014,13.029361
Armenia,ARM,1990,98.0705
Armenia,ARM,1991,98.18049
Armenia,ARM,1992,93.308495
Armenia,ARM,1993,82.51092
Armenia,ARM,1994,77.06829
Armenia,ARM,1995,84.318985
Armenia,ARM,1996,57.65077
Armenia,ARM,1997,70.37276
Armenia,ARM,1998,70.49798
Armenia,ARM,1999,64.121155
Armenia,ARM,2000,68.07252
Armenia,ARM,2001,69.58601
Armenia,ARM,2002,60.18361
Armenia,ARM,2003,64.51257
Armenia,ARM,2004,63.81405
Armenia,ARM,2005,65.42836
Armenia,ARM,2006,66.45051
Armenia,ARM,2007,70.78468
Armenia,ARM,2008,73.21742
Armenia,ARM,2009,68.10664
Armenia,ARM,2010,64.65123
Armenia,ARM,2011,67.344215
Armenia,ARM,2012,72.706665
Armenia,ARM,2013,72.04648
Armenia,ARM,2014,71.3413
Australia,AUS,1960,32.325474
Australia,AUS,1961,30.980072
Australia,AUS,1962,32.83598
Australia,AUS,1963,34.46592
Australia,AUS,1964,32.19658
Australia,AUS,1965,28.26915
Australia,AUS,1966,28.424042
Australia,AUS,1967,28.339088
Australia,AUS,1968,21.958988
Australia,AUS,1969,16.783468
Australia,AUS,1970,6.1499333
Australia,AUS,1971,-4.3355503
Australia,AUS,1972,-17.407513
Australia,AUS,1973,-19.156858
Australia,AUS,1974,-14.547948
Australia,AUS,1975,-24.153633
Australia,AUS,1976,-21.715837
Australia,AUS,1977,-24.06255
Australia,AUS,1978,-22.795696
Australia,AUS,1979,-27.274866
Australia,AUS,1980,-22.712162
Australia,AUS,1981,-38.69796
Australia,AUS,1982,-34.86464
Australia,AUS,1983,-53.479473
Australia,AUS,1984,-63.692978
Australia,AUS,1985,-76.5549
Australia,AUS,1986,-84.257095
Australia,AUS,1987,-91.82991
Australia,AUS,1988,-75.862785
Australia,AUS,1989,-72.074005
Australia,AUS,1990,-82.37047
Australia,AUS,1991,-96.08562
Australia,AUS,1992,-98.39685
Australia,AUS,1993,-92.35458
Australia,AUS,1994,-90.874756
Australia,AUS,1995,-101.62533
Australia,AUS,1996,-92.13294
Australia,AUS,1997,-98.47262
Australia,AUS,1998,-108.32675
Australia,AUS,1999,-101.108795
Australia,AUS,2000,-116.050705
Australia,AUS,2001,-135.64555
Australia,AUS,2002,-132.12721
Australia,AUS,2003,-127.82602
Australia,AUS,2004,-125.59655
Australia,AUS,2005,-133.66603
Australia,AUS,2006,-128.34897
Australia,AUS,2007,-134.10016
Australia,AUS,2008,-126.271996
